gene,cell,beta_ivw,se_ivw,p_ivw,pp4_ilcco,n_snps_ilcco,status_ilcco,pp4_finngen,n_snps_finngen,status_finngen,mr_p,Evidence_Level
PARK7,bin,0.244314843042349,0.0106061410722206,0,0.0249311200635118,3000,ok,0.729563957951154,3000,ok,0,Strong
CTSW,cd4et,-0.12806418980904,0.0117746504885474,0,0.0273157918292717,2127,ok,0.372095474995296,2248,ok,0,Moderate
CTSW,nkr,-0.266494584105927,0.02404969156082,0,0.0524044990370629,2127,ok,0.252745206671061,2248,ok,0,Moderate
TMEM50A,cd8et,0.154702867685063,0.00511777578768443,0,0.00605127777095112,3000,ok,0.24504464244817,3000,ok,0,Moderate
CTSW,nk,-0.0747215308539994,0.00734865880597861,0,0.0134505427292135,2127,ok,0.162388015722615,2248,ok,0,Suggestive
CTSW,cd8s100b,-0.0430237824796617,0.00793230619403878,5.83229278205977e-08,0.0133271903457959,2127,ok,0.160764745958965,2248,ok,5.83229278205977e-08,Suggestive
CTSW,cd8et,-0.0618006617282393,0.00563505025573469,0,0.00916461565995217,2127,ok,0.063864157420398,2248,ok,0,Suggestive
CTSW,cd4nc,-0.0958688386520843,0.00462410542961776,0,0.0135622161292497,2127,ok,0.0567529720743523,2248,ok,0,Suggestive
CTSW,cd8nc,-0.0621450634304327,0.00598328408404667,0,0.00881010254414659,2127,ok,0.0495011848599417,2248,ok,0,Weak
PARK7,cd8et,0.109399868074046,0.00830106314083796,0,0.0100922667968326,3000,ok,0.0394572425320661,3000,ok,0,Weak
RPS26,mononc,-0.240029245889587,0.0127946297387347,0,0.0184016482059916,2465,ok,0.017584505762074,2506,ok,0,Weak
RPS26,nk,-0.282156567591913,0.0142980369785652,0,0.0172798506006804,2465,ok,0.0173982486637317,2506,ok,0,Weak
RPS26,cd4et,-0.295712744210936,0.0152645788444782,0,0.0177131756137753,2465,ok,0.0172408132991606,2506,ok,0,Weak
RPS26,plasma,-0.0571827025236724,0.0169760036371103,0.000755939953059448,0.0257305243913163,2465,ok,0.0172067834555701,2506,ok,0.000755939953059448,Weak
RPS26,bmem,-0.277447831048709,0.0138725941015706,0,0.0160217344062109,2465,ok,0.0171451413232899,2506,ok,0,Weak
RPS26,cd8s100b,-0.280255198784617,0.0139027731054603,0,0.0174966961985846,2465,ok,0.0170638720576281,2506,ok,0,Weak
RPS26,cd8nc,-0.274428496788409,0.0138817139885816,0,0.0154501811351924,2465,ok,0.0169005512697538,2506,ok,0,Weak
RPS26,nkr,-0.272194744032064,0.0143309552247488,0,0.0158556363720036,2465,ok,0.0168819319817289,2506,ok,0,Weak
RPS26,dc,-0.297315274332454,0.0147838838863859,0,0.0163760268864834,2465,ok,0.016862082802448,2506,ok,0,Weak
RPS26,cd8et,-0.276855773586629,0.0136885280799046,0,0.0160376621247384,2465,ok,0.0168429869408244,2506,ok,0,Weak
RPS26,monoc,-0.274736382326577,0.0138387792851759,0,0.0176230758525914,2465,ok,0.0168153490014727,2506,ok,0,Weak
RPS26,bin,-0.281314907036412,0.0140402675458023,0,0.0166377374106834,2465,ok,0.0167634513448052,2506,ok,0,Weak
RPS26,cd4sox4,-0.215300047789784,0.012612500383343,0,0.0198446284694051,2465,ok,0.0166595068084807,2506,ok,0,Weak
RPS26,cd4nc,-0.274485966701168,0.0142808273872664,0,0.0169230726954947,2465,ok,0.016617411317101,2506,ok,0,Weak
EIF4G3,cd8et,-0.108651833532213,0.00673160541697762,0,0.00662626168374662,3000,ok,0.013754407481924,3000,ok,0,Weak
KCNAB2,cd8et,0.0212737864253781,0.00576761296378842,0.00022558832433095,0.00995794978864045,3000,ok,0.0136622439968788,3000,ok,0.00022558832433095,Weak
LINC00339,cd8et,-0.0460451703216981,0.00961305064011926,1.6689740662823e-06,0.00911125711101196,3000,ok,0.0106216794680394,3000,ok,1.6689740662823e-06,Weak
CDC42,cd8et,0.0255574725292856,0.00739147077887895,0.000544812061715305,0.00868843086949495,3000,ok,0.00967869921981437,3000,ok,0.000544812061715305,Weak
SRSF10,cd8et,0.00917365074477563,0.00771640746855003,0.234498712500264,0.00636804772123255,2869,ok,0.00897318962427094,3000,ok,0.234498712500264,Weak
ZNF593,cd8et,-0.0965111022693358,0.010279510968905,0,0.00635864188165122,2376,ok,0.00892777112440193,2497,ok,0,Weak
PNRC2,cd8et,0.0202792638839107,0.00699134261429305,0.00372419146228387,0.0067313799603672,2818,ok,0.00726012740892419,3000,ok,0.00372419146228387,Weak
PLOD1,cd8et,0.0171445387758581,0.007563437894286,0.0234045652595716,0.0145905662040066,2904,ok,0.00707170222379225,3000,ok,0.0234045652595716,Weak
