gene,cell,PP4_LUAD,PP4_LUSC,Delta,Specificity
PARK7,bmem,0.0361598194928296,0.382135955798714,0.3459761363058844,LUSC-Specific
PARK7,bin,0.0364361834387814,0.373294665359738,0.3368584819209566,LUSC-Specific
CDC42,nkr,0.0989320610943679,,0.0989320610943679,Comparable/Uncertain
LINC00339,bin,0.0926227832998663,0.0150008927774289,0.0776218905224374,Comparable/Uncertain
LINC00339,cd4et,0.0637699458858804,,0.0637699458858804,Comparable/Uncertain
LINC00339,cd8et,0.0627334832502541,,0.0627334832502541,Comparable/Uncertain
LINC00339,monoc,0.0499553080660805,,0.0499553080660805,Low/No Evidence
LINC00339,bmem,0.0647622852150763,0.015694519917108,0.0490677652979683,Comparable/Uncertain
CDC42,bin,0.0628240320688301,0.0185670044906493,0.0442570275781808,Comparable/Uncertain
CDC42,cd4nc,0.0606330793295797,0.0166028805394048,0.044030198790174904,Comparable/Uncertain
CDC42,cd8s100b,0.0528431931051011,0.0125980190691499,0.040245174035951195,Comparable/Uncertain
CDC42,cd8et,0.0556223373465558,0.0153956841227339,0.0402266532238219,Comparable/Uncertain
CDC42,cd8nc,0.054065281724035,0.016140588721724,0.037924693002310994,Comparable/Uncertain
LINC00339,cd8s100b,0.0369443108412391,,0.0369443108412391,Low/No Evidence
CDC42,nk,0.0523897659101911,0.0155524613196439,0.0368373045905472,Comparable/Uncertain
CDC42,cd4et,0.0516345642225786,0.0168652266287846,0.034769337593794,Comparable/Uncertain
LINC00339,cd4nc,0.0342192842796217,,0.0342192842796217,Low/No Evidence
CDC42,monoc,0.0496540462681781,0.016435036037898,0.033219010230280094,Low/No Evidence
CDC42,bmem,0.0516188460068166,0.019418436315324,0.0322004096914926,Comparable/Uncertain
LINC00339,nk,,0.0294350376141415,0.0294350376141415,Low/No Evidence
PARK7,mononc,0.0190174122163489,0.0425083313827862,0.0234909191664373,Low/No Evidence
EIF4G3,cd8et,0.0225162775654907,,0.0225162775654907,Low/No Evidence
PLOD1,nk,,0.021465573973344,0.021465573973344,Low/No Evidence
RPS26,plasma,0.0209185056238878,,0.0209185056238878,Low/No Evidence
LINC00339,mononc,0.0202382977172084,,0.0202382977172084,Low/No Evidence
RPS26,nkr,0.0198654989032879,,0.0198654989032879,Low/No Evidence
KCNAB2,cd8et,0.0197778012735175,,0.0197778012735175,Low/No Evidence
KCNAB2,cd4et,0.0196822077519954,,0.0196822077519954,Low/No Evidence
LINC00339,nkr,0.019229033295786,,0.019229033295786,Low/No Evidence
KCNAB2,cd8s100b,0.0192224658539289,,0.0192224658539289,Low/No Evidence
PARK7,monoc,0.018982168029799,0.0378503227512697,0.018868154721470697,Low/No Evidence
KCNAB2,cd4nc,0.0185758964601269,,0.0185758964601269,Low/No Evidence
CDC42,mononc,0.0307893759951891,0.0130543743329706,0.0177350016622185,Low/No Evidence
PARK7,nk,0.0259845975802166,0.0426307323736076,0.016646134793391002,Low/No Evidence
PARK7,cd4nc,0.0189134953680136,0.0340231830971154,0.015109687729101796,Low/No Evidence
PNRC2,bmem,0.01426076052556,,0.01426076052556,Low/No Evidence
KCNAB2,dc,0.0135013877128065,,0.0135013877128065,Low/No Evidence
LINC00339,plasma,0.0128946656119367,,0.0128946656119367,Low/No Evidence
PARK7,cd8nc,0.0349937785738728,0.0477566608929135,0.0127628823190407,Low/No Evidence
PNRC2,nk,,0.0117605690195577,0.0117605690195577,Low/No Evidence
CTSW,nkr,0.0116546995693389,,0.0116546995693389,Low/No Evidence
PLOD1,mononc,0.0098370913760462,,0.0098370913760462,Low/No Evidence
PLOD1,monoc,0.0093084890457115,,0.0093084890457115,Low/No Evidence
PLOD1,plasma,0.0092734638544449,,0.0092734638544449,Low/No Evidence
KCNAB2,cd4sox4,0.0091096051470075,,0.0091096051470075,Low/No Evidence
PARK7,cd4et,0.0215731790120769,0.0306821568546893,0.0091089778426124,Low/No Evidence
LINC00339,dc,0.0090317846155818,,0.0090317846155818,Low/No Evidence
EIF4G3,cd8s100b,0.0084026406192857,,0.0084026406192857,Low/No Evidence
PLOD1,cd4et,0.0083569712099091,,0.0083569712099091,Low/No Evidence
TMEM50A,nk,,0.0082217554879046,0.0082217554879046,Low/No Evidence
CDC42,plasma,0.0080268430203563,,0.0080268430203563,Low/No Evidence
ZNF593,plasma,0.007813964351129,,0.007813964351129,Low/No Evidence
EIF4G3,mononc,0.0076884739993966,,0.0076884739993966,Low/No Evidence
EIF4G3,dc,0.0075076057170447,,0.0075076057170447,Low/No Evidence
EIF4G3,nk,0.0233410936523543,0.0158503792535821,0.007490714398772198,Low/No Evidence
EIF4G3,cd4nc,0.0074697470204932,,0.0074697470204932,Low/No Evidence
EIF4G3,plasma,0.0073604924509073,,0.0073604924509073,Low/No Evidence
EIF4G3,cd4et,0.0072088381637724,,0.0072088381637724,Low/No Evidence
PARK7,cd4sox4,0.0135478408948986,0.0202338233996315,0.0066859825047329,Low/No Evidence
KCNAB2,plasma,0.0065914051421382,,0.0065914051421382,Low/No Evidence
PLOD1,bmem,0.0063487289635286,,0.0063487289635286,Low/No Evidence
LINC00339,cd4sox4,0.006212643954248,,0.006212643954248,Low/No Evidence
TMEM50A,bmem,0.0061290888922623,,0.0061290888922623,Low/No Evidence
KCNAB2,monoc,0.0061068090130142,,0.0061068090130142,Low/No Evidence
PLOD1,nkr,0.0060991034989473,,0.0060991034989473,Low/No Evidence
KCNAB2,mononc,0.0055594002610738,,0.0055594002610738,Low/No Evidence
TMEM50A,cd4sox4,0.0054627226966104,,0.0054627226966104,Low/No Evidence
EIF4G3,nkr,0.0053743025267105,,0.0053743025267105,Low/No Evidence
TMEM50A,bin,0.0058079488406624,0.0111699982977694,0.005362049457107,Low/No Evidence
KCNAB2,nkr,0.0052248293933626,,0.0052248293933626,Low/No Evidence
PARK7,cd8et,0.0184843240907033,0.0237056059195223,0.005221281828819001,Low/No Evidence
KCNAB2,bmem,0.0058977765629805,0.0108045973867729,0.004906820823792399,Low/No Evidence
KCNAB2,bin,0.0055955725034409,0.010199821815023,0.0046042493115821,Low/No Evidence
ZNF593,nkr,0.0045539386122695,,0.0045539386122695,Low/No Evidence
PNRC2,nkr,0.0039669150531654,,0.0039669150531654,Low/No Evidence
PLOD1,bin,0.009618179503361,0.0059238743053038,0.0036943051980572,Low/No Evidence
PARK7,plasma,0.0092878828407066,0.0128692711418971,0.003581388301190499,Low/No Evidence
TMEM50A,plasma,0.0034720507918085,,0.0034720507918085,Low/No Evidence
CDC42,dc,0.0135143034508173,0.0104677733918854,0.0030465300589318997,Low/No Evidence
PNRC2,bin,0.0144063793644047,0.0114364162264027,0.0029699631380019995,Low/No Evidence
PARK7,dc,0.009114281795485,0.0061534595386397,0.0029608222568452995,Low/No Evidence
TMEM50A,nkr,0.0028093585367541,,0.0028093585367541,Low/No Evidence
CDC42,cd4sox4,0.0063156256158305,0.008944361790738,0.0026287361749075004,Low/No Evidence
KCNAB2,nk,0.0203662850373287,0.0177556332604706,0.0026106517768581007,Low/No Evidence
EIF4G3,bin,0.0132291121432349,0.0156052418121908,0.0023761296689558987,Low/No Evidence
ZNF593,bin,0.011457628593928,0.0091474401853706,0.002310188408557399,Low/No Evidence
PARK7,nkr,0.004379977039438,0.0066730028087547,0.0022930257693167004,Low/No Evidence
CTSW,plasma,0.0022200830589145,,0.0022200830589145,Low/No Evidence
EIF4G3,bmem,0.0103362231170161,0.0082024048931464,0.0021338182238696997,Low/No Evidence
EIF4G3,monoc,0.0069603117458089,0.0070669522704275,0.00010664052461860016,Low/No Evidence
PARK7,cd8s100b,0.0073970190365717,0.0074753518807374,7.833284416570042e-05,Low/No Evidence
CTSW,bin,,,0.0,No Data
RPS26,bin,,,0.0,No Data
