gene,distance,Z,FC,p.value,p.adj
PARK7,2.25597983987223e-06,5.80491344900725,14473.1043102505,0,0
IGKC,1.11653755322009e-06,5.17331939755489,3545.17707767531,0,0
IGHG3,6.30914991911175e-07,4.67301649063797,1131.96489387483,3.72895551840129e-248,6.86500710937677e-245
MZB1,5.89806923809179e-08,2.70818290567759,9.89261246844643,0.00165943612508044,0.999950297526443
FKBP11,5.72563687820369e-08,2.68468912329242,9.32263897867969,0.00226339775432044,0.999950297526443
SSR4,5.35275997690374e-08,2.63146624514026,8.1479208719123,0.0043110559813681,0.999950297526443
IGHG4,5.22031860661885e-08,2.61169985504494,7.74970699608261,0.0053721256417486,0.999950297526443
PRDX4,4.74971480257284e-08,2.53733340588861,6.41543825839707,0.0113132403313238,0.999950297526443
DERL3,4.63431953952287e-08,2.51801674969865,6.10749632408064,0.0134609681102174,0.999950297526443
SDF2L1,4.4407853317612e-08,2.4845565806168,5.60803639069959,0.017878286448411,0.999950297526443
HSP90B1,4.41294513817575e-08,2.47962825678532,5.53794094345834,0.01860846493876,0.999950297526443
XBP1,4.40384319289439e-08,2.4780105239117,5.51511987896128,0.0188527811536495,0.999950297526443
FKBP2,4.31435430214368e-08,2.46193171370881,5.29325574989243,0.0214081606718805,0.999950297526443
NUCB2,4.20170090776636e-08,2.44122842811946,5.02043712609004,0.0250498444903509,0.999950297526443
MYDGF,4.15171900351016e-08,2.43187126087741,4.90170496438647,0.0268301932427918,0.999950297526443
RPL13A,4.06330246379884e-08,2.41505011165412,4.69515102587323,0.0302478405621386,0.999950297526443
SEC11C,4.02947059934777e-08,2.40852033532087,4.61729099748784,0.0316511882502907,0.999950297526443
IGHG1,3.94819170311303e-08,2.39261484667705,4.43289787899302,0.0352526060428281,0.999950297526443
RPL32,3.91099270717541e-08,2.38523001998813,4.34975980476273,0.0370141661982175,0.999950297526443
RPL23A,3.89911941289604e-08,2.38285867731738,4.32338921977878,0.0375919778981112,0.999950297526443
RPS23,3.89614782107777e-08,2.38226410214083,4.31680185936703,0.0377377848755807,0.999950297526443
RPL30,3.88785113236025e-08,2.38060173520107,4.2984365254737,0.0381474274633346,0.999950297526443
SEC61G,3.86958180564282e-08,2.37692913626048,4.25813403946798,0.0390628069458299,0.999950297526443
RPL11,3.86578406611888e-08,2.37616360043067,4.24977998508845,0.0392554158247558,0.999950297526443
PDIA4,3.86508848037697e-08,2.37602330816308,4.24825076340238,0.0392907808860213,0.999950297526443
RPLP2,3.86148856140044e-08,2.37529685434426,4.24034086092585,0.0394742410217398,0.999950297526443
RPL19,3.85016258727483e-08,2.373007047041,4.21550299926832,0.0400561884956651,0.999950297526443
