model,n,events,term,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,proportional_hazards_p
Univariable,323,134,DJ1_z,0.025891238834748493,1.0262293285060098,0.8683762702536059,1.2127768465832542,0.7612584049689317,0.8316214491061323
Clinical adjusted,316,132,DJ1_z,0.01592575968703675,1.0160532504946698,0.8628945500149298,1.1963967182582418,0.8484934503370486,0.8059828547015406
Clinical adjusted,316,132,age_per_10y,0.3061644391618223,1.3582056303812395,1.1008382240465482,1.6757435326131056,0.004287128505332811,0.46306006300989433
Clinical adjusted,316,132,male,0.19873953673810074,1.2198641947105804,0.8048956607597552,1.8487721155463537,0.3488396599958763,0.8252290383617881
Clinical adjusted,316,132,stage_II,0.26935239699876123,1.3091163884569132,0.8733710210283058,1.9622653800771441,0.19212356442084558,0.49724980212982195
Clinical adjusted,316,132,stage_III,0.4727984912487119,1.604478034033425,1.0234174400240676,2.5154444911894642,0.03931635856142525,0.3794438552387107
Clinical adjusted,316,132,stage_IV,2.1036675517227397,8.196174751615487,2.5264478649407742,26.589616786172623,0.0004591759532607562,0.6784406466515414
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,DJ1_z,0.02096745884799965,1.0211888204362138,0.8633339864350507,1.207906353009489,0.806664899797499,0.8555469834087986
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,age_per_10y,0.3524189758462194,1.4225043938644317,1.1483576545982461,1.7620980209963801,0.0012535629595396244,0.5443515539545066
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,male,0.2179898384935266,1.243574430965228,0.8140685840197105,1.899689283812292,0.3132707988951847,0.8151987176737466
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,stage_II,0.258375152975278,1.2948244847769175,0.8595309654847118,1.9505643353201922,0.21649219568099334,0.43638762104022444
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,stage_III,0.4379831622958316,1.5495788158501616,0.9708881802122089,2.473193675101447,0.06634139952952829,0.2988413960973124
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,stage_IV,2.1467619052148854,8.55710477065802,2.605066415441612,28.10832062552435,0.00040340198215769546,0.7230459526107569
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,307,128,pathway_mutated,0.1288649960895563,1.1375365419174313,0.7692173057195101,1.6822156425447252,0.518568503988013,0.6568536875018647
Clinical + smoking + pathway mutation adjusted,260,113,DJ1_z,0.024439473102669234,1.0247405648631294,0.8603286442035735,1.2205721991833731,0.7841580646957699,0.6120275290015813
Clinical + smoking + pathway mutation adjusted,260,113,age_per_10y,0.4075912174302019,1.5031925566426556,1.185929420486249,1.905330809163515,0.0007521770073692196,0.2541124541853122
Clinical + smoking + pathway mutation adjusted,260,113,male,0.19822240961047694,1.219233532923692,0.776993005202139,1.9131837710930986,0.3885191872918421,0.8891417537844761
Clinical + smoking + pathway mutation adjusted,260,113,stage_II,0.18842475020604402,1.207346227013395,0.7732825791617537,1.8850611033596876,0.40715926787630907,0.6580699063232387
Clinical + smoking + pathway mutation adjusted,260,113,stage_III,0.41453930444031817,1.5136732374967483,0.9228986410262611,2.4826200495496136,0.10056433973897527,0.14061284384060807
Clinical + smoking + pathway mutation adjusted,260,113,stage_IV,2.142844992324886,8.523652893493972,2.5792456712744456,28.16818089797136,0.0004421834619423622,0.7536791270254511
Clinical + smoking + pathway mutation adjusted,260,113,pack_years_per_10,-0.003952191205016417,0.9960556084240524,0.9392460041529204,1.0563012998578372,0.8950601805806221,0.008696412070919509
Clinical + smoking + pathway mutation adjusted,260,113,pathway_mutated,0.12247598923651828,1.1302919805747815,0.7432864106220065,1.7187990296803062,0.5668455328132953,0.9806211626235579
