model,n,events,term,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,proportional_hazards_p
Univariable,493,211,PARK7_z,0.002294918842859382,1.0022975541846866,0.876864493091813,1.1456734706891787,0.9731620379516499,0.23302394352250638
Clinical adjusted,484,209,PARK7_z,0.00350797780571424,1.00351413796098,0.8757154936444993,1.1499632385131484,0.9597455977849787,0.20464394876801847
Clinical adjusted,484,209,age_per_10y,0.1839093639336784,1.2019068820475083,1.0134928480702365,1.4253481471169211,0.03451301591725707,0.9791063301760179
Clinical adjusted,484,209,male,0.18351331625828649,1.2014309638702005,0.8697656127550587,1.6595693595816787,0.26553484611506983,0.8726912566612699
Clinical adjusted,484,209,stage_II,0.15944697366727464,1.1728620679975184,0.8503077611753139,1.6177735795872588,0.3311877176248861,0.7523392225904721
Clinical adjusted,484,209,stage_III,0.47284500943007385,1.6045526731696282,1.1194693262714226,2.2998301253602853,0.010041388043425628,0.2817936231552805
Clinical adjusted,484,209,stage_IV,1.149665431445268,3.1571364543906233,1.274707244099308,7.819450809417116,0.01297382013501259,0.6543603351030562
Clinical + smoking + NRF2/redox adjusted,410,181,PARK7_z,-0.02846613571090203,0.9719352074836908,0.8420130574020366,1.121904273623774,0.6974123423246494,0.5058609064761845
Clinical + smoking + NRF2/redox adjusted,410,181,age_per_10y,0.20820433772334587,1.2314647785506165,1.0141596402929423,1.4953321356514175,0.03556126423636702,0.5981595222757213
Clinical + smoking + NRF2/redox adjusted,410,181,male,0.21193554590573782,1.2360682128538247,0.8708069366094012,1.7545388795093728,0.2356615498896802,0.7485130774952224
Clinical + smoking + NRF2/redox adjusted,410,181,stage_II,0.0019786126829335836,1.0019805714286614,0.7054284062831812,1.4231990894870254,0.9911829900265756,0.7623473717029428
Clinical + smoking + NRF2/redox adjusted,410,181,stage_III,0.29382948616580273,1.3415551304539461,0.9022911074470025,1.994666857728083,0.1465275786397998,0.499556987735714
Clinical + smoking + NRF2/redox adjusted,410,181,stage_IV,1.1264164136289334,3.0845828013102206,1.2324322766537361,7.720222229145692,0.01610869572715518,0.4799991055432802
Clinical + smoking + NRF2/redox adjusted,410,181,pack_years_per_10,0.0010721303614904135,1.0010727052986972,0.9555004438178691,1.0488185199473068,0.9640270963398183,0.017421282804886952
Clinical + smoking + NRF2/redox adjusted,410,181,NRF2_redox_z,-0.0906964177182747,0.9132949289763153,0.7881083524712044,1.058366688639211,0.22789795372103092,0.6012873246482411
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,PARK7_z,0.003977917471480489,1.0039858398866068,0.8753779402866808,1.1514884260879428,0.9546430619382844,0.2650064910559021
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,age_per_10y,0.21260166037962394,1.2368918500689978,1.039994958383043,1.4710662166533568,0.016249513675049652,0.9870255086780046
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,male,0.1933408398042424,1.2132962627124082,0.8747686457729318,1.682831029924699,0.24671834366455586,0.8573003797413297
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,stage_II,0.1278029698925204,1.1363290895963183,0.8191679915817904,1.5762869315357915,0.4440379888299011,0.7121476787632928
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,stage_III,0.4382508385296288,1.5499936567906134,1.0714565192099614,2.2422564919970878,0.02000085838880983,0.23382231772008602
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,stage_IV,1.1307451242349589,3.097964008389465,1.2443146512172765,7.712985608493547,0.015113883918079175,0.6335838444506039
Clinical + KEAP1/NFE2L2/CUL3 mutation adjusted,470,203,pathway_mutated,-0.05020234597182804,0.9510369665305861,0.6944111272624522,1.302501178622178,0.7543777486330591,0.5791604925218956
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,PARK7_z,-0.02437760247018846,0.9759171314547134,0.8434653958889204,1.1291681343525133,0.7432354816869826,0.5871511976646989
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,age_per_10y,0.23187017095202286,1.2609560094825438,1.0336926933554798,1.5381844798465145,0.022208856742704817,0.7402582143144893
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,male,0.2246849670568322,1.2519282554181181,0.8780794773435803,1.7849458928886692,0.21441016916150685,0.7264209707861503
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,stage_II,-0.02367452855095482,0.9766035145979417,0.6840633625500943,1.3942486572728974,0.8963057745372371,0.838262829519145
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,stage_III,0.27096999979542724,1.3112357324543011,0.8723174577151127,1.9710016472311402,0.19255356863550996,0.3960307719152182
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,stage_IV,1.1399895249392424,3.1267356122691004,1.241356212638182,7.875640762496731,0.01557702694943813,0.47392228010742043
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,pack_years_per_10,-0.004879200424597734,0.9951326835378596,0.9485982201634481,1.0439499429744137,0.8417270370610765,0.014588221612262415
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,NRF2_redox_z,-0.1063582045249986,0.8991025277930037,0.7475541203547558,1.0813736871654795,0.25877051163601333,0.7579923586272587
Clinical + smoking + NRF2/redox + pathway mutation adjusted,399,176,pathway_mutated,0.06043006794123433,1.0622933066147509,0.6952660317991884,1.623072345931079,0.779927609581289,0.8038128206038728
