cell_group,threshold_method,score,n_samples,median_delta_high_minus_low,mean_delta_high_minus_low,positive_samples,negative_samples,wilcoxon_signed_rank_p,wilcoxon_fdr
B cells,detected_vs_undetected,Apoptosis_DDR_score,25,0.24250433085422496,0.30586027486027273,21,4,0.0002498030662536621,0.0002997636795043945
B cells,detected_vs_undetected,NRF2_redox_score,25,1.4713014608461612,1.5093074639961404,24,1,2.980232238769531e-07,3.973642985026042e-07
B cells,detected_vs_undetected,Ribosome_translation_score,25,0.3585602898579392,0.4978699071011517,15,10,0.05875152349472046,0.05875152349472046
B cells,detected_vs_undetected,UPR_ER_stress_score,25,0.6467697170980351,0.5678325385156444,20,5,0.0005564093589782715,0.0006069920279762962
B cells,within_sample_positive_median,Apoptosis_DDR_score,20,-0.13737483675886214,-0.06375695704580829,7,13,0.4304332733154297,0.5739110310872396
B cells,within_sample_positive_median,NRF2_redox_score,20,0.9193472051761082,0.9469532441898304,20,0,1.9073486328125e-06,7.62939453125e-06
B cells,within_sample_positive_median,Ribosome_translation_score,20,-0.04245774868957053,-0.03849535052910125,9,11,0.6476554870605469,0.6476554870605469
B cells,within_sample_positive_median,UPR_ER_stress_score,20,0.10368084042116155,0.07751272340785875,11,9,0.5216732025146484,0.6005390869950961
B cells,within_sample_positive_quartiles,Apoptosis_DDR_score,14,-1.1717185922711844,-1.0597941092441938,1,13,0.0008544921875,0.0009321732954545455
B cells,within_sample_positive_quartiles,NRF2_redox_score,14,-1.237250687831014,-1.185870594723113,2,12,0.001220703125,0.001220703125
B cells,within_sample_positive_quartiles,Ribosome_translation_score,14,-1.006162319511927,-1.060598703357713,0,14,0.0001220703125,0.00016276041666666666
B cells,within_sample_positive_quartiles,UPR_ER_stress_score,14,-2.042722505492274,-1.9240400859966404,0,14,0.0001220703125,0.00016276041666666666
B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,40,0.5868591554867345,0.6097151364072722,36,4,2.3623215383850038e-08,4.7246430767700076e-08
B-lineage combined,detected_vs_undetected,NRF2_redox_score,40,1.8335076079673411,1.9879509903538106,40,0,1.8189894035458565e-12,2.1827872842550278e-11
B-lineage combined,detected_vs_undetected,Ribosome_translation_score,40,1.1070918707969115,1.1226514417390205,38,2,9.094947017729282e-12,5.4569682106375694e-11
B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,40,0.8714395882380188,0.9938717867999355,36,4,3.701643436215818e-09,8.883944246917963e-09
B-lineage combined,within_sample_positive_median,Apoptosis_DDR_score,37,0.0796598478507522,0.12822451892644451,23,14,0.08552214417431969,0.12828321626147954
B-lineage combined,within_sample_positive_median,NRF2_redox_score,37,1.1226385749104617,1.2495564313864338,36,1,2.9103830456733704e-11,3.4924596548080444e-10
B-lineage combined,within_sample_positive_median,Ribosome_translation_score,37,0.1517003574943061,0.23670081557859918,26,11,0.03489584955968894,0.05982145638803819
B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,37,-0.08399512237999218,-0.05942341766038369,16,21,0.550494163078838,0.6005390869950961
B-lineage combined,within_sample_positive_quartiles,Apoptosis_DDR_score,30,-0.9155614809079358,-0.9270142599600875,3,27,3.855675458908081e-07,1.2516975402832031e-06
B-lineage combined,within_sample_positive_quartiles,NRF2_redox_score,30,-1.0874770052090639,-0.9612514749705501,4,26,4.421919584274292e-06,7.5804335730416435e-06
B-lineage combined,within_sample_positive_quartiles,Ribosome_translation_score,30,-1.110494341613879,-1.4971367065900245,0,30,1.862645149230957e-09,1.1175870895385742e-08
B-lineage combined,within_sample_positive_quartiles,UPR_ER_stress_score,30,-2.00538579241553,-1.9813037268375837,0,30,1.862645149230957e-09,1.1175870895385742e-08
Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,34,0.6331474009356293,0.6747480234977283,32,2,1.2444797903299332e-07,2.1333939262798855e-07
Plasma cells,detected_vs_undetected,NRF2_redox_score,34,2.015897130463798,2.158191206555305,34,0,1.1641532182693481e-10,3.4924596548080444e-10
Plasma cells,detected_vs_undetected,Ribosome_translation_score,34,1.2406518224389842,1.2462666327668497,34,0,1.1641532182693481e-10,3.4924596548080444e-10
Plasma cells,detected_vs_undetected,UPR_ER_stress_score,34,0.8075814540560904,0.9302058920719019,32,2,2.764863893389702e-07,3.973642985026042e-07
Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,32,0.24389897610985378,0.23480922630567613,22,10,0.013997930567711592,0.03359503336250782
Plasma cells,within_sample_positive_median,NRF2_redox_score,32,1.2983993991807865,1.4264808573737113,31,1,9.313225746154785e-10,5.587935447692871e-09
Plasma cells,within_sample_positive_median,Ribosome_translation_score,32,0.5661514328424939,0.5511512695042013,26,6,3.949552774429321e-05,0.00011848658323287964
Plasma cells,within_sample_positive_median,UPR_ER_stress_score,32,0.23207502378042033,0.2530382537214415,21,11,0.021623995155096054,0.04324799031019211
Plasma cells,within_sample_positive_quartiles,Apoptosis_DDR_score,25,-0.8188700567112429,-0.9022309804874815,2,23,1.1324882507324219e-06,2.7179718017578126e-06
Plasma cells,within_sample_positive_quartiles,NRF2_redox_score,25,-0.8623182598427848,-0.8308375111341926,5,20,0.0006313323974609375,0.000757598876953125
Plasma cells,within_sample_positive_quartiles,Ribosome_translation_score,25,-1.061916902112248,-1.075451832845296,1,24,1.4901161193847656e-06,2.9802322387695312e-06
Plasma cells,within_sample_positive_quartiles,UPR_ER_stress_score,25,-1.007530639862745,-1.2389691203589743,2,23,4.172325134277344e-07,1.2516975402832031e-06
