sample,cell_group,threshold_method,score,n_high,n_low,lower_cutoff,upper_cutoff,mean_high,mean_low,delta_high_minus_low,mannwhitney_p,mannwhitney_fdr
GSM4453576_P1,Plasma cells,within_sample_positive_median,UPR_ER_stress_score,45,225,,7.879715420061684,6.178457431746928,6.4535164694470994,-0.2750590377001716,0.41234453733342036,0.41234453733342036
GSM4453576_P1,Plasma cells,within_sample_positive_median,NRF2_redox_score,45,225,,7.879715420061684,4.086884098564045,2.399219422317464,1.6876646762465812,1.0044769409862157e-07,4.017907763944863e-07
GSM4453576_P1,Plasma cells,within_sample_positive_median,Ribosome_translation_score,45,225,,7.879715420061684,8.622077632294118,8.11575335955879,0.5063242727353288,0.09851477040858149,0.19702954081716298
GSM4453576_P1,Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,45,225,,7.879715420061684,1.9027794768977575,1.787712235133526,0.11506724176423155,0.38525324461147004,0.41234453733342036
GSM4453576_P1,Plasma cells,within_sample_positive_quartiles,UPR_ER_stress_score,23,23,7.425272559321422,8.283361611150942,6.213731643482791,7.268959112363139,-1.0552274688803482,0.017659962540957454,0.03531992508191491
GSM4453576_P1,Plasma cells,within_sample_positive_quartiles,NRF2_redox_score,23,23,7.425272559321422,8.283361611150942,4.321580406266116,4.910094795943799,-0.588514389677683,0.4684624853723316,0.4684624853723316
GSM4453576_P1,Plasma cells,within_sample_positive_quartiles,Ribosome_translation_score,23,23,7.425272559321422,8.283361611150942,8.421755956637197,9.595654954884353,-1.1738989982471555,0.04801606175747826,0.06402141567663767
GSM4453576_P1,Plasma cells,within_sample_positive_quartiles,Apoptosis_DDR_score,23,23,7.425272559321422,8.283361611150942,1.9246460647213974,3.013685875905637,-1.0890398111842396,0.0064297826784719785,0.025719130713887914
GSM4453576_P1,Plasma cells,detected_vs_undetected,UPR_ER_stress_score,89,181,0.0,0.0,6.53939013116911,6.342906455138997,0.1964836760301134,0.17345752132975611,0.17345752132975611
GSM4453576_P1,Plasma cells,detected_vs_undetected,NRF2_redox_score,89,181,0.0,0.0,4.228750560205521,1.9192008541354704,2.3095497060700505,5.216298752398856e-17,2.0865195009595425e-16
GSM4453576_P1,Plasma cells,detected_vs_undetected,Ribosome_translation_score,89,181,0.0,0.0,8.965819580501009,7.823646722040736,1.142172858460273,2.3682349442773525e-07,4.736469888554705e-07
GSM4453576_P1,Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,89,181,0.0,0.0,2.222614944542516,1.602472924315793,0.6201420202267229,0.0002326041646538024,0.00031013888620506984
GSM4453576_P1,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,48,231,,7.907791292034853,5.8986145753739345,6.418776073314744,-0.5201614979408093,0.104182897087784,0.13891052945037866
GSM4453576_P1,B-lineage combined,within_sample_positive_median,NRF2_redox_score,48,231,,7.907791292034853,4.197359726232227,2.436906818350417,1.76045290788181,2.005575296882359e-08,8.022301187529436e-08
