cell,gene,n_iv,beta_ivw,se_ivw,p_ivw,q_bh_fdr
bin,PARK7,91,0.2443148430423485,0.0106061410722205,0.0,0.0
bin,RPS26,135,-0.2813149070364122,0.0140402675458022,0.0,0.0
bmem,PARK7,12,0.3578404436269417,0.0356971730375337,0.0,0.0
bmem,RPS26,137,-0.2774478310487093,0.0138725941015706,0.0,0.0
cd4et,CTSW,65,-0.1280641898090403,0.0117746504885474,0.0,0.0
cd4et,PARK7,45,0.1622050940530952,0.0134469275988397,0.0,0.0
cd4et,RPS26,135,-0.2957127442109361,0.0152645788444781,0.0,0.0
cd4nc,CTSW,352,-0.0958688386520843,0.0046241054296177,0.0,0.0
cd4nc,RPS26,138,-0.2744859667011676,0.0142808273872664,0.0,0.0
cd4nc,TMEM50A,33,0.2559420064536228,0.0184259046148711,0.0,0.0
cd4sox4,RPS26,146,-0.2153000477897839,0.0126125003833429,0.0,0.0
cd8et,CDC42,129,0.0255574725292856,0.0073914707788789,0.0005448120617153,0.0006089075983876881
cd8et,CTSW,211,-0.0618006617282393,0.0056350502557346,0.0,0.0
cd8et,EIF4G3,198,-0.1086518335322134,0.0067316054169776,0.0,0.0
cd8et,KCNAB2,205,0.0212737864253781,0.0057676129637884,0.0002255883243309,0.0002597683734719455
cd8et,LINC00339,113,-0.046045170321698,0.0096130506401192,1.6689740662823027e-06,1.9819067037102345e-06
cd8et,PARK7,83,0.1093998680740461,0.0083010631408379,0.0,0.0
cd8et,PLOD1,101,0.0171445387758581,0.007563437894286,0.0234045652595715,0.024037121077397756
cd8et,PNRC2,149,0.0202792638839107,0.006991342614293,0.0037241914622838,0.003931090987966233
cd8et,RPS26,134,-0.2768557735866288,0.0136885280799046,0.0,0.0
cd8et,SRSF10,119,0.0091736507447756,0.00771640746855,0.2344987125002637,0.2344987125002637
cd8et,TMEM50A,163,0.154702867685063,0.0051177757876844,0.0,0.0
cd8et,ZNF593,91,-0.0965111022693358,0.0102795109689049,0.0,0.0
cd8nc,CTSW,200,-0.0621450634304326,0.0059832840840466,0.0,0.0
cd8nc,RPS26,138,-0.274428496788409,0.0138817139885815,0.0,0.0
cd8nc,TMEM50A,137,0.2325367418007011,0.0089038504275299,0.0,0.0
cd8s100b,CTSW,117,-0.0430237824796617,0.0079323061940387,5.8322927820597676e-08,7.149262119944232e-08
cd8s100b,RPS26,135,-0.2802551987846166,0.0139027731054602,0.0,0.0
dc,RPS26,136,-0.2973152743324542,0.0147838838863859,0.0,0.0
monoc,RPS26,137,-0.2747363823265768,0.0138387792851759,0.0,0.0
monoc,TMEM50A,163,0.214414098006534,0.0073364240139794,0.0,0.0
mononc,RPS26,147,-0.2400292458895867,0.0127946297387346,0.0,0.0
mononc,TMEM50A,164,0.1932572044250686,0.0065145140948955,0.0,0.0
nk,CTSW,143,-0.0747215308539994,0.0073486588059786,0.0,0.0
nk,RPS26,137,-0.282156567591913,0.0142980369785652,0.0,0.0
nkr,CTSW,20,-0.2664945841059265,0.0240496915608199,0.0,0.0
nkr,RPS26,139,-0.2721947440320635,0.0143309552247488,0.0,0.0
plasma,RPS26,36,-0.0571827025236724,0.0169760036371103,0.0007559399530594,0.0008207348061787771
