id,set_type,set_size,src_set_size,num_hiq_sig,pct_hiq_sig,num_uniq_pert,pct_src_pert,src_set_id,cell_iname,Type,is_filtered_set,desc,Raw Score,fdr_q_nlog10,norm_cs,Connectivity Score
SODIUM/CALCIUM_EXCHANGE_INHIBITOR:PC3:TRT_CP,MOA_CLASS,3,5,2,66.6666666666667,3,60,SODIUM/CALCIUM_EXCHANGE_INHIBITOR,PC3,TRT_CP,TRUE,SODIUM/CALCIUM_EXCHANGE_INHIBITOR:PC3:trt_cp,-0.9996,0.5830,-1.3198,-0.9996
ATM_KINASE_INHIBITOR:PC3:TRT_CP,MOA_CLASS,4,4,4,100,4,100,ATM_KINASE_INHIBITOR,PC3,TRT_CP,TRUE,ATM_KINASE_INHIBITOR:PC3:trt_cp,-0.9996,0.6629,-1.4433,-0.9996
ATR_KINASE_INHIBITOR:HEK293:TRT_CP,MOA_CLASS,3,6,2,66.6666666666667,3,50,ATR_KINASE_INHIBITOR,HEK293,TRT_CP,TRUE,ATR_KINASE_INHIBITOR:HEK293:trt_cp,-0.9984,0.5830,-1.3183,-0.9984
CALCIUM_CHANNEL_ACTIVATOR:HT29:TRT_CP,MOA_CLASS,5,6,2,40,5,83.3333333333333,CALCIUM_CHANNEL_ACTIVATOR,HT29,TRT_CP,TRUE,CALCIUM_CHANNEL_ACTIVATOR:HT29:trt_cp,-0.9982,0.6855,-1.5427,-0.9982
CARCINOGEN:HEPG2:TRT_CP,MOA_CLASS,4,5,3,75,4,80,CARCINOGEN,HEPG2,TRT_CP,TRUE,CARCINOGEN:HEPG2:trt_cp,-0.9980,0.6585,-1.441,-0.998
INTEGRIN_ANTAGONIST:MCF7:TRT_CP,MOA_CLASS,6,10,3,50,6,60,INTEGRIN_ANTAGONIST,MCF7,TRT_CP,TRUE,INTEGRIN_ANTAGONIST:MCF7:trt_cp,-0.9978,0.7233,-1.6065,-0.9978
CP_DNA_DEPENDENT_PROTEIN_KINASE_INHIBITOR:A375:TRT_CP,PCL,4,4,4,100,4,100,CP_DNA_DEPENDENT_PROTEIN_KINASE_INHIBITOR,A375,TRT_CP,TRUE,CP_DNA_DEPENDENT_PROTEIN_KINASE_INHIBITOR:A375:trt_cp,-0.9951,0.6564,-1.4367,-0.9951
ATR_KINASE_INHIBITOR:HCC515:TRT_CP,MOA_CLASS,3,6,3,100,3,50,ATR_KINASE_INHIBITOR,HCC515,TRT_CP,TRUE,ATR_KINASE_INHIBITOR:HCC515:trt_cp,-0.9947,0.5768,-1.3134,-0.9947
PKA_INHIBITOR:HAP1:TRT_CP,MOA_CLASS,4,4,2,50,4,100,PKA_INHIBITOR,HAP1,TRT_CP,TRUE,PKA_INHIBITOR:HAP1:trt_cp,-0.9939,0.6536,-1.435,-0.9939
CP_PKA_INHIBITOR:HAP1:TRT_CP,PCL,5,5,3,60,5,100,CP_PKA_INHIBITOR,HAP1,TRT_CP,TRUE,CP_PKA_INHIBITOR:HAP1:trt_cp,-0.9939,0.6855,-1.536,-0.9939
RNA_POLYMERASE_INHIBITOR:HUVEC:TRT_CP,MOA_CLASS,6,17,2,33.3333333333333,6,35.2941176470588,RNA_POLYMERASE_INHIBITOR,HUVEC,TRT_CP,TRUE,RNA_POLYMERASE_INHIBITOR:HUVEC:trt_cp,-0.9930,0.7131,-1.5988,-0.993
INOSINE_MONOPHOSPHATE_DEHYDROGENASE_INHIBITOR:A375:TRT_CP,MOA_CLASS,3,6,3,100,3,50,INOSINE_MONOPHOSPHATE_DEHYDROGENASE_INHIBITOR,A375,TRT_CP,TRUE,INOSINE_MONOPHOSPHATE_DEHYDROGENASE_INHIBITOR:A375:trt_cp,-0.9911,0.5748,-1.3086,-0.9911
IMIDAZOLINE_RECEPTOR_AGONIST:MCF7:TRT_CP,MOA_CLASS,6,5,4,66.6666666666667,5,100,IMIDAZOLINE_RECEPTOR_AGONIST,MCF7,TRT_CP,TRUE,IMIDAZOLINE_RECEPTOR_AGONIST:MCF7:trt_cp,-0.9901,0.7131,-1.5942,-0.9901
CP_TGF_BETA_RECEPTOR_INHIBITOR:HEPG2:TRT_CP,PCL,4,4,2,50,4,100,CP_TGF_BETA_RECEPTOR_INHIBITOR,HEPG2,TRT_CP,TRUE,CP_TGF_BETA_RECEPTOR_INHIBITOR:HEPG2:trt_cp,-0.9897,0.6446,-1.429,-0.9897
TGF_BETA_RECEPTOR_INHIBITOR:HEPG2:TRT_CP,MOA_CLASS,4,13,2,50,4,30.7692307692308,TGF_BETA_RECEPTOR_INHIBITOR,HEPG2,TRT_CP,TRUE,TGF_BETA_RECEPTOR_INHIBITOR:HEPG2:trt_cp,-0.9897,0.6446,-1.429,-0.9897
