Mechanism,Connectivity Score,Example Drug
Topoisomerase inhibitor,-1.8458,irinotecan
-666,-1.8416,camptothecin
Androgen receptor antagonist|AKT inhibitor,-1.8199,pyrvinium-pamoate
MDM inhibitor,-1.818,AMG-232
JAK inhibitor,-1.7945,ruxolitinib
DNA inhibitor,-1.7862,chlorambucil
LIM kinase activator|Rho associated kinase activator,-1.7845,narciclasine
Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives,-1.7775,BRD-A02367930
Neprilysin inhibitor,-1.7637,KBG
Glucocorticoid receptor agonist|Corticosteroid agonist|Cytochrome P450 inhibitor,-1.7499,dexamethasone-acetate
Glutamate receptor antagonist,-1.7427,LY-215490
DNA alkylating agent|DNA inhibitor,-1.7377,mitomycin-c
Inositol monophosphatase inhibitor,-1.7356,L-690488
Progesterone receptor agonist,-1.723,progesterone
Src inhibitor|Abl inhibitor|Bcr-Abl inhibitor,-1.7225,bosutinib
