row_id,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,GO:0002181,cytoplasmic translation,80/189,208/18860,0.384615384615385,38.3801383801384,54.5401479550245,1.57702407273435e-110,3.49626236925205e-107,3.16898837352618e-107,RPL13A/RPL32/RPL23A/RPS23/RPL30/RPL11/RPLP2/RPL19/RPL21/RPL27A/RPS27/RPS15A/RPS27A/RPL26/RPS18/RPS6/RPS25/RPS8/RPL28/RPL34/RPL13/RPS29/RPS12/RPL39/RPL9/RPS3/RPL31/RPS2/RPL37/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS20/RPS14/RPL41/RPL14/RPS28/RPL5/RPL18/RPL10A/RPL29/RPL3/RPL18A/FAU/RPS17/RPS7/RPL36/RPS11/RPL27/RPL15/RPS16/RPL7/RPLP1/RPL10/RPL38/RPS4X/UBA52/RPL22/RPL35/RPL37A/RPL7A/RPS21/RPL4/RPL12/RPL6/RPL8/RPS9/RPS10/RPS5/RPL23/RPL24/RPS19/EEF2/RPL36A/RPS24/PABPC1/EIF3E/EEF1D,80
GO:0042274,GO:0042274,ribosomal small subunit biogenesis,26/189,107/18860,0.242990654205607,24.2476388270781,24.2628495230174,4.71551380127217e-29,5.2271470487102e-26,4.73785044559399e-26,RPS23/RPS27/RPS15A/RPS27A/RPS6/RPS25/RPS8/RPS12/RPS15/RPS13/RPSA/RPS3A/RPS14/RPS28/FAU/RPS17/RPS7/RPS11/RPS16/RPS4X/RPS21/RPS9/RPS5/RPS19/RPS24/NPM1,26
GO:0042254,GO:0042254,ribosome biogenesis,37/189,318/18860,0.116352201257862,11.6105953212871,19.1991263062186,8.80382805853132e-29,6.50602893525464e-26,5.89702026797764e-26,RPS23/RPL11/RPS27/RPS15A/RPS27A/RPL26/RPS6/RPS25/RPS8/RPS12/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS14/RPL14/RPS28/RPL5/FAU/RPS17/RPS7/RPS11/RPL27/RPS16/RPL7/RPL38/RPS4X/RPL35/RPL7A/RPS21/RPS9/RPS5/RPL24/RPS19/RPS24/NPM1,37
GO:0022613,GO:0022613,ribonucleoprotein complex biogenesis,39/189,496/18860,0.0786290322580645,7.84626216077829,15.5459463439433,6.36945991120729e-24,3.53027315578664e-21,3.19981551855124e-21,RPL13A/RPS23/RPL11/RPS27/RPS15A/RPS27A/RPL26/RPS6/RPS25/RPS8/RPS12/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS14/RPL14/RPS28/RPL5/FAU/RPS17/RPS7/RPS11/RPL27/RPS16/RPL7/RPL38/RPS4X/RPL35/RPL7A/RPS21/RPS9/RPS5/RPL24/RPS19/RPS24/NPM1/EIF3E,39
GO:0006364,GO:0006364,rRNA processing,22/189,223/18860,0.0986547085201794,9.84459154862742,13.3674526177853,7.48805849776554e-16,3.32020513790924e-13,3.00941129941777e-13,RPL11/RPS27/RPL26/RPS6/RPS25/RPS8/RPS15/RPL35A/RPS14/RPL14/RPS28/RPL5/RPS17/RPS7/RPL27/RPS16/RPL7/RPL35/RPL7A/RPS21/RPS19/RPS24,22
GO:0042255,GO:0042255,ribosome assembly,13/189,60/18860,0.216666666666667,21.620811287478,16.0956637675914,2.32209384687721e-14,8.58013676421129e-12,7.77697746261157e-12,RPL11/RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/RPL5/FAU/RPL38/RPL24/RPS19/NPM1,13
GO:0016072,GO:0016072,rRNA metabolic process,22/189,270/18860,0.0814814814814815,8.13090339016265,11.8738944131093,4.07165954005048e-14,1.28955274289885e-11,1.16884181382803e-11,RPL11/RPS27/RPL26/RPS6/RPS25/RPS8/RPS15/RPL35A/RPS14/RPL14/RPS28/RPL5/RPS17/RPS7/RPL27/RPS16/RPL7/RPL35/RPL7A/RPS21/RPS19/RPS24,22
GO:0000028,GO:0000028,ribosomal small subunit assembly,8/189,20/18860,0.4,39.9153439153439,17.5186995471253,9.96349904477272e-12,2.76113467278264e-09,2.50267364164094e-09,RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/FAU/RPS19,8
GO:0042273,GO:0042273,ribosomal large subunit biogenesis,10/189,69/18860,0.144927536231884,14.4620811287478,11.2711504127034,1.63902210038052e-09,4.03745777393734e-07,3.65952419839346e-07,RPL11/RPL26/RPL35A/RPL14/RPL5/RPL7/RPL35/RPL7A/RPL24/NPM1,10
GO:0034976,GO:0034976,response to endoplasmic reticulum stress,17/189,288/18860,0.0590277777777778,5.89028512639624,8.41409731248197,5.30062477268504e-09,1.17514851210427e-06,1.0651465990585e-06,PARK7/DERL3/SDF2L1/HSP90B1/XBP1/PDIA4/MANF/DNAJB9/HSPA5/PDIA6/P4HB/ERLEC1/EEF2/CALR/SEC61B/AGR2/TMEM258,17
GO:1901796,GO:1901796,regulation of signal transduction by p53 class mediator,11/189,123/18860,0.0894308943089431,8.92416225749559,8.87079064681934,4.44521877728252e-08,8.95913639021394e-06,8.12050013955246e-06,RPL11/RPL26/RPL37/RPS15/RPS20/RPL5/RPS7/RPL23/NPM1/CD74/MUC1,11
GO:1901798,GO:1901798,positive regulation of signal transduction by p53 class mediator,7/189,36/18860,0.194444444444444,19.40329218107,11.1198072031085,5.92885530131438e-08,1.09535601691783e-05,9.92823225456943e-06,RPL11/RPL26/RPL37/RPS15/RPS20/RPS7/RPL23,7
GO:0022618,GO:0022618,protein-RNA complex assembly,14/189,231/18860,0.0606060606060606,6.04777938111271,7.7663691009429,9.02337423627959e-08,1.53883236014091e-05,1.39478715927593e-05,RPL13A/RPL11/RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/RPL5/FAU/RPL38/RPL24/RPS19/EIF3E,14
GO:0071826,GO:0071826,protein-RNA complex organization,14/189,240/18860,0.0583333333333333,5.82098765432099,7.56237561914202,1.44666363274634e-07,2.29089519557046e-05,2.0764517856487e-05,RPL13A/RPL11/RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/RPL5/FAU/RPL38/RPL24/RPS19/EIF3E,14
GO:0045047,GO:0045047,protein targeting to ER,7/189,47/18860,0.148936170212766,14.8620961386919,9.57315852514854,4.07005119844253e-07,6.01553567129806e-05,5.45244051777318e-05,SEC61G/SEC61A1/HSPA5/SSR3/SPCS2/SPCS3/SEC61B,7
GO:0006457,GO:0006457,protein folding,13/189,228/18860,0.0570175438596491,5.68968718091525,7.16783506187635,5.30512662299562e-07,7.35091607698831e-05,6.66282021269648e-05,SDF2L1/HSP90B1/PDIA4/LMAN1/PPIB/HSPA5/PDIA6/P4HB/CALR/CD74/PFDN5/DNAJB11/SIL1,13
GO:0072599,GO:0072599,establishment of protein localization to endoplasmic reticulum,7/189,51/18860,0.137254901960784,13.6964415395788,9.13462440821199,7.2434248830028e-07,9.44627821506895e-05,8.56204216820579e-05,SEC61G/SEC61A1/HSPA5/SSR3/SPCS2/SPCS3/SEC61B,7
GO:0019731,GO:0019731,antibacterial humoral response,8/189,78/18860,0.102564102564103,10.2347035680369,8.22253603329455,1.12952967504805e-06,0.000139120404976751,0.000126097786530218,IGHG3/IGHG4/IGHG1/RPL39/FAU/JCHAIN/IGHA1/WFDC2,8
GO:0036503,GO:0036503,ERAD pathway,9/189,115/18860,0.0782608695652174,7.80952380952381,7.36935339367001,2.37577921700922e-06,0.00027721592232155,0.000251266621898649,DERL3/SDF2L1/HSP90B1/XBP1/DNAJB9/HSPA5/ERLEC1/CALR/SEC61B,9
GO:0019730,GO:0019730,antimicrobial humoral response,11/189,184/18860,0.0597826086956522,5.96560846560847,6.80998091069726,2.56935599705142e-06,0.00028481311227315,0.000258152663072166,IGHG3/IGHG4/IGHG1/RPL30/RPL39/FAU/JCHAIN/RPS19/IGHA1/LGALS3/WFDC2,11
GO:0034975,GO:0034975,protein folding in endoplasmic reticulum,4/189,11/18860,0.363636363636364,36.2866762866763,11.7779411929556,3.05158014463445e-06,0.000307516053666117,0.000278730454359194,HSP90B1/HSPA5/P4HB/CALR,4
GO:0051444,GO:0051444,negative regulation of ubiquitin-protein transferase activity,4/189,11/18860,0.363636363636364,36.2866762866763,11.7779411929556,3.05158014463445e-06,0.000307516053666117,0.000278730454359194,RPL11/RPL5/RPS7/RPL23,4
GO:0072331,GO:0072331,signal transduction by p53 class mediator,11/189,196/18860,0.0561224489795918,5.60036713097938,6.5136528300318,4.72880991727603e-06,0.000455816155939172,0.000413148655930432,RPL11/RPL26/RPL37/RPS15/RPS20/RPL5/RPS7/RPL23/NPM1/CD74/MUC1,11
GO:0051438,GO:0051438,regulation of ubiquitin-protein transferase activity,5/189,26/18860,0.192307692307692,19.1900691900692,9.33804978096629,5.31415517585614e-06,0.000490895084369711,0.000444943957487253,RPL11/RPS2/RPL5/RPS7/RPL23,5
GO:0140694,GO:0140694,membraneless organelle assembly,16/189,446/18860,0.0358744394618834,3.57985147222815,5.54746417401351,1.14447172606706e-05,0.00101491752667627,0.000919914326341904,RPS23/RPL11/RPS27/RPS6/RPS3/RPS15/RPSA/RPS14/RPS28/RPL5/FAU/RPL38/RPL24/RPS19/KRT19/NPM1,16
GO:1904666,GO:1904666,regulation of ubiquitin protein ligase activity,4/189,15/18860,0.266666666666667,26.6102292768959,9.98314704520745,1.22317414524665e-05,0.00104299118461993,0.000945360098492248,RPL11/RPL5/RPS7/RPL23,4
GO:0006959,GO:0006959,humoral immune response,13/189,307/18860,0.0423452768729642,4.22556572393706,5.73290115416343,1.39724365626694e-05,0.0011472922910903,0.00103989791025871,IGHG3/IGHG4/IGHG1/RPL30/RPL39/FAU/JCHAIN/RPS19/CD59/IGHA1/LGALS3/WFDC2/CD37,13
GO:0006620,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,4/189,16/18860,0.25,24.9470899470899,9.64123418239532,1.61813864719278e-05,0.00123849695196132,0.00112256519302716,SEC61G/SEC61A1/HSPA5/SEC61B,4
GO:0030490,GO:0030490,maturation of SSU-rRNA,6/189,54/18860,0.111111111111111,11.08759553204,7.46866134590304,1.62004562953894e-05,0.00123849695196132,0.00112256519302716,RPS8/RPS14/RPS28/RPS16/RPS21/RPS19,6
