threshold,permuted_overlap,observed_overlap
top20_norm,157,118
top20_norm,153,118
top20_norm,154,118
top20_norm,165,118
top20_norm,161,118
top20_norm,168,118
top20_norm,170,118
top20_norm,167,118
top20_norm,166,118
top20_norm,148,118
top20_norm,158,118
top20_norm,153,118
top20_norm,150,118
top20_norm,135,118
top20_norm,139,118
top20_norm,153,118
top20_norm,161,118
top20_norm,160,118
top20_norm,145,118
top20_norm,160,118
top20_norm,156,118
top20_norm,159,118
top20_norm,133,118
top20_norm,166,118
top20_norm,152,118
top20_norm,152,118
top20_norm,174,118
top20_norm,160,118
top20_norm,134,118
top20_norm,135,118
top20_norm,149,118
top20_norm,156,118
top20_norm,170,118
top20_norm,149,118
top20_norm,141,118
top20_norm,155,118
top20_norm,167,118
top20_norm,162,118
top20_norm,160,118
top20_norm,151,118
top20_norm,159,118
top20_norm,148,118
top20_norm,137,118
top20_norm,155,118
top20_norm,145,118
top20_norm,168,118
top20_norm,147,118
top20_norm,160,118
top20_norm,156,118
top20_norm,154,118
top20_norm,170,118
top20_norm,175,118
top20_norm,162,118
top20_norm,154,118
top20_norm,150,118
top20_norm,170,118
top20_norm,149,118
top20_norm,149,118
top20_norm,151,118
top20_norm,156,118
top20_norm,159,118
top20_norm,145,118
top20_norm,159,118
top20_norm,164,118
top20_norm,146,118
top20_norm,161,118
top20_norm,135,118
top20_norm,162,118
top20_norm,162,118
top20_norm,149,118
top20_norm,159,118
top20_norm,160,118
top20_norm,151,118
top20_norm,150,118
top20_norm,158,118
top20_norm,156,118
top20_norm,153,118
top20_norm,153,118
top20_norm,161,118
top20_norm,163,118
top20_norm,160,118
top20_norm,142,118
top20_norm,154,118
top20_norm,167,118
top20_norm,143,118
top20_norm,176,118
top20_norm,130,118
top20_norm,134,118
top20_norm,155,118
top20_norm,148,118
top20_norm,148,118
top20_norm,135,118
top20_norm,160,118
top20_norm,148,118
top20_norm,170,118
top20_norm,176,118
top20_norm,151,118
top20_norm,154,118
top20_norm,161,118
top20_norm,154,118
top20_norm,161,118
top20_norm,157,118
top20_norm,156,118
top20_norm,152,118
top20_norm,152,118
top20_norm,161,118
top20_norm,143,118
top20_norm,154,118
top20_norm,155,118
top20_norm,162,118
top20_norm,152,118
top20_norm,130,118
top20_norm,164,118
top20_norm,151,118
top20_norm,155,118
top20_norm,143,118
top20_norm,165,118
top20_norm,160,118
top20_norm,176,118
top20_norm,140,118
top20_norm,166,118
top20_norm,157,118
top20_norm,167,118
top20_norm,151,118
top20_norm,162,118
