sample,sample_label,assigned_cell_type,n_cells,pct_detected,mean_log2CPM,median_log2CPM,positive_mean_log2CPM
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,B cells,1135,68.54625550660793,1.2264259818617826,1.41519936004206,1.7891947164693103
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Endothelial cells,15,53.333333333333336,1.0815441212832755,1.2877945673597424,2.0278952274061415
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Epithelial/tumor,1138,76.71353251318102,1.3569463156267814,1.4984412369002353,1.7688486909315888
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Fibroblasts,46,82.6086956521739,1.8375432897146715,2.0125346696330197,2.2243945086019705
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Low-confidence/other,76,5.263157894736842,0.17857186678850492,0.0,3.3928654689815936
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Mast cells,3473,45.78174488914483,1.0378796202375102,0.0,2.2670163025691026
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Myeloid cells,481,63.61746361746362,1.233338256292102,1.3367655287956537,1.938678762341507
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,NK cells,376,47.87234042553192,1.18837257491417,0.0,2.4823782675984885
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Plasma cells,463,50.323974082073434,0.9119790265238974,0.3741806848863215,1.8122158338221652
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,T cells,1377,62.45461147421931,1.5473733896620063,1.873350695424244,2.477596694842538
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,B cells,765,53.98692810457516,1.1145482540139002,1.3477322222022767,2.0644780007763526
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Endothelial cells,7,57.14285714285714,1.5723616176878803,1.7741770370069905,2.7516328309537905
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Epithelial/tumor,160,72.5,1.3848468407197965,1.6470747345719063,1.9101335734066158
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Fibroblasts,13,92.3076923076923,2.053526670046948,2.28326437604428,2.2246538925508603
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Low-confidence/other,21,4.761904761904762,0.1937170343306397,0.0,4.068057720943433
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Mast cells,54,55.55555555555556,1.1763105564868108,1.3848022279049967,2.11735900167626
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Myeloid cells,2175,69.88505747126436,1.3214213946510298,1.5226217016033043,1.890849693003941
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,NK cells,844,65.28436018957346,1.6105228885755436,1.897170331988039,2.4669352413026475
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Plasma cells,175,44.0,0.78041831379623,0.0,1.7736779859005225
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,T cells,5086,69.48486040110106,1.7020041366103744,2.0136869655763436,2.4494603958122143
