cohort,n_tumor_patients,target,target_class,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_fdr
TCGA-LUSC,501,TP63,other marker,-0.2360364529904335,9.005287460331282e-08,-0.2335203073881703,1.2426534779837633e-07,1.0806344952397537e-06
TCGA-LUSC,501,CD19,B-lineage marker,-0.2139006710356503,1.35290914019202e-06,-0.2292861699697203,2.119025124315369e-07,7.692392293761752e-06
TCGA-LUSC,501,NFE2L2,redox marker,-0.2109292172626858,1.9060878276283623e-06,-0.1881809911820911,2.2404506353613963e-05,7.692392293761752e-06
TCGA-LUSC,501,CD79A,B-lineage marker,-0.1825367273421285,3.9548675434216026e-05,-0.1755642484392054,7.796554501118143e-05,0.0001328316918896
TCGA-LUSC,501,Squamous_epithelial_module,module,-0.1680623136197724,0.0001572943058639,-0.1826586590112894,3.907311710052783e-05,0.0004194514823038
TCGA-LUSC,501,MZB1,B-lineage marker,-0.1663602834172293,0.0001836968090357,-0.16566791933207,0.000195581798836,0.0004408723416856
TCGA-LUSC,501,MS4A1,B-lineage marker,-0.1358505497615822,0.0023091486450157,-0.1580794929459917,0.0003825815154617,0.0050381424982162
TCGA-LUSC,501,B_lineage_marker_module,module,-0.1340942338430708,0.0026337873091198,-0.1329925384430144,0.002858117496897,0.0052675746182396
TCGA-LUSC,501,KRT5,other marker,-0.1124584297540377,0.0117732903776212,-0.1691072091863841,0.0001428959039431,0.0217353053125315
TCGA-LUSC,501,CD79B,B-lineage marker,-0.0958064792712494,0.0320315518900064,-0.1147510238877432,0.0101535386903139,0.0549112318114396
TCGA-LUSC,501,HMOX1,redox marker,-0.0590994584536107,0.1866096806824692,-0.0480370918622982,0.2832040510746902,0.2545676188936799
TCGA-LUSC,501,JCHAIN,B-lineage marker,-0.058526325834387,0.1909257141702599,-0.0567533026527686,0.2047408004917285,0.2545676188936799
TCGA-LUSC,501,NQO1,redox marker,-0.0408934799723262,0.3610239398099453,-0.0215648228200726,0.630135337373883,0.4350304670177383
TCGA-LUSC,501,TXN,redox marker,-0.020302884271298,0.6502955470931493,0.0033581956052188,0.9402313846778462,0.7094133241016174
TCGA-LUSC,501,NRF2_redox_marker_module,module,-0.0117273659851611,0.7934391685479293,0.0363219192844774,0.4172327225011153,0.8227115734734339
TCGA-LUSC,501,GSR,redox marker,-0.0100350218296877,0.8227115734734339,-0.0024406445760887,0.9565426695331842,0.8227115734734339
TCGA-LUSC,501,CD3D,other marker,0.0282572703199179,0.528021263716697,0.0615657595773505,0.1688552306571959,0.6034528728190823
TCGA-LUSC,501,NKG7,other marker,0.0407658945058091,0.3625253891814486,0.0852348677732449,0.0565828116186788,0.4350304670177383
TCGA-LUSC,501,LST1,other marker,0.0867886537681609,0.0522091614892922,0.1100923385510548,0.0136805603003149,0.0783137422339383
TCGA-LUSC,501,EPCAM,other marker,0.0927228570746952,0.0380138283903767,0.1034354988334173,0.0205784321784578,0.0608221254246027
TCGA-LUSC,501,CD40,B-lineage marker,0.1813945654507718,4.427723062989037e-05,0.1727765032170198,0.0001015448541004,0.0001328316918896
TCGA-LUSC,501,SOD1,redox marker,0.210851635374669,1.923098073440438e-06,0.237617897561038,7.34155023020291e-08,7.692392293761752e-06
TCGA-LUSC,501,CAT,redox marker,0.2195820311568098,6.929237135031714e-07,0.2342493143604422,1.1323818234531804e-07,5.543389708025372e-06
TCGA-LUSC,501,GPX1,redox marker,0.2914867953336356,2.870330425952438e-11,0.2662180587936159,1.4176616629833135e-09,6.88879302228585e-10
