ID,Description,GeneRatio,BgRatio,FoldEnrichment,p.adjust,Count,geneID
GO:0002181,cytoplasmic translation,80/189,208/18860,38.3801383801384,3.49626236925205e-107,80,RPL13A/RPL32/RPL23A/RPS23/RPL30/RPL11/RPLP2/RPL19/RPL21/RPL27A/RPS27/RPS15A/RPS27A/RPL26/RPS18/RPS6/RPS25/RPS8/RPL28/RPL34/RPL13/RPS29/RPS12/RPL39/RPL9/RPS3/RPL31/RPS2/RPL37/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS20/RPS14/RPL41/RPL14/RPS28/RPL5/RPL18/RPL10A/RPL29/RPL3/RPL18A/FAU/RPS17/RPS7/RPL36/RPS11/RPL27/RPL15/RPS16/RPL7/RPLP1/RPL10/RPL38/RPS4X/UBA52/RPL22/RPL35/RPL37A/RPL7A/RPS21/RPL4/RPL12/RPL6/RPL8/RPS9/RPS10/RPS5/RPL23/RPL24/RPS19/EEF2/RPL36A/RPS24/PABPC1/EIF3E/EEF1D
GO:0042274,ribosomal small subunit biogenesis,26/189,107/18860,24.2476388270781,5.227147048710201e-26,26,RPS23/RPS27/RPS15A/RPS27A/RPS6/RPS25/RPS8/RPS12/RPS15/RPS13/RPSA/RPS3A/RPS14/RPS28/FAU/RPS17/RPS7/RPS11/RPS16/RPS4X/RPS21/RPS9/RPS5/RPS19/RPS24/NPM1
GO:0042254,ribosome biogenesis,37/189,318/18860,11.6105953212871,6.50602893525464e-26,37,RPS23/RPL11/RPS27/RPS15A/RPS27A/RPL26/RPS6/RPS25/RPS8/RPS12/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS14/RPL14/RPS28/RPL5/FAU/RPS17/RPS7/RPS11/RPL27/RPS16/RPL7/RPL38/RPS4X/RPL35/RPL7A/RPS21/RPS9/RPS5/RPL24/RPS19/RPS24/NPM1
GO:0022613,ribonucleoprotein complex biogenesis,39/189,496/18860,7.84626216077829,3.53027315578664e-21,39,RPL13A/RPS23/RPL11/RPS27/RPS15A/RPS27A/RPL26/RPS6/RPS25/RPS8/RPS12/RPS15/RPL35A/RPS13/RPSA/RPS3A/RPS14/RPL14/RPS28/RPL5/FAU/RPS17/RPS7/RPS11/RPL27/RPS16/RPL7/RPL38/RPS4X/RPL35/RPL7A/RPS21/RPS9/RPS5/RPL24/RPS19/RPS24/NPM1/EIF3E
GO:0006364,rRNA processing,22/189,223/18860,9.84459154862742,3.32020513790924e-13,22,RPL11/RPS27/RPL26/RPS6/RPS25/RPS8/RPS15/RPL35A/RPS14/RPL14/RPS28/RPL5/RPS17/RPS7/RPL27/RPS16/RPL7/RPL35/RPL7A/RPS21/RPS19/RPS24
GO:0042255,ribosome assembly,13/189,60/18860,21.620811287478,8.58013676421129e-12,13,RPL11/RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/RPL5/FAU/RPL38/RPL24/RPS19/NPM1
GO:0016072,rRNA metabolic process,22/189,270/18860,8.13090339016265,1.28955274289885e-11,22,RPL11/RPS27/RPL26/RPS6/RPS25/RPS8/RPS15/RPL35A/RPS14/RPL14/RPS28/RPL5/RPS17/RPS7/RPL27/RPS16/RPL7/RPL35/RPL7A/RPS21/RPS19/RPS24
GO:0000028,ribosomal small subunit assembly,8/189,20/18860,39.9153439153439,2.7611346727826404e-09,8,RPS27/RPS6/RPS15/RPSA/RPS14/RPS28/FAU/RPS19
GO:0042273,ribosomal large subunit biogenesis,10/189,69/18860,14.4620811287478,4.03745777393734e-07,10,RPL11/RPL26/RPL35A/RPL14/RPL5/RPL7/RPL35/RPL7A/RPL24/NPM1
GO:0034976,response to endoplasmic reticulum stress,17/189,288/18860,5.89028512639624,1.17514851210427e-06,17,PARK7/DERL3/SDF2L1/HSP90B1/XBP1/PDIA4/MANF/DNAJB9/HSPA5/PDIA6/P4HB/ERLEC1/EEF2/CALR/SEC61B/AGR2/TMEM258
GO:1901796,regulation of signal transduction by p53 class mediator,11/189,123/18860,8.92416225749559,8.95913639021394e-06,11,RPL11/RPL26/RPL37/RPS15/RPS20/RPL5/RPS7/RPL23/NPM1/CD74/MUC1
GO:1901798,positive regulation of signal transduction by p53 class mediator,7/189,36/18860,19.40329218107,1.09535601691783e-05,7,RPL11/RPL26/RPL37/RPS15/RPS20/RPS7/RPL23
