dataset,sample,cell_group,n_cells,PARK7_cutoff_log2CPM,UPR_ER_stress_score_high_mean,UPR_ER_stress_score_low_mean,UPR_ER_stress_score_delta_high_minus_low,UPR_ER_stress_score_mannwhitney_p,NRF2_redox_score_high_mean,NRF2_redox_score_low_mean,NRF2_redox_score_delta_high_minus_low,NRF2_redox_score_mannwhitney_p,Ribosome_translation_score_high_mean,Ribosome_translation_score_low_mean,Ribosome_translation_score_delta_high_minus_low,Ribosome_translation_score_mannwhitney_p,Apoptosis_DDR_score_high_mean,Apoptosis_DDR_score_low_mean,Apoptosis_DDR_score_delta_high_minus_low,Apoptosis_DDR_score_mannwhitney_p,UPR_ER_stress_score_mannwhitney_fdr,NRF2_redox_score_mannwhitney_fdr,Ribosome_translation_score_mannwhitney_fdr,Apoptosis_DDR_score_mannwhitney_fdr
GSE148071,GSM4453576_P1,Plasma cells,270,7.907791292034854,6.158383264279339,6.4535951445371795,-0.29521188025784095,0.3762220492988094,4.103009306008817,2.418455103528251,1.6845542024805655,3.050126429879264e-07,8.618347315008677,8.123102684752626,0.49524463025605137,0.11423302083989476,1.8962005846922174,1.790438178984076,0.10576240570814144,0.4283403656579504,0.7849039587552451,2.440101143903411e-06,0.44245371752819623,0.7665159102387132
GSE148071,GSM4453576_P1,B-lineage combined,279,7.907791292034854,5.8986145753739345,6.418776073314744,-0.5201614979408093,0.104182897087784,4.197359726232227,2.436906818350417,1.76045290788181,2.005575296882359e-08,8.686602894157259,8.138278493374614,0.5483244007826453,0.06417022493174526,1.814999684009875,1.7861372300333822,0.028862453976492786,0.6133218934764157,0.7157298723023127,2.750503264295807e-07,0.37443276253996777,0.8568229119281334
GSE148071,GSM4453578_P3,Plasma cells,34,7.965091854698246,5.980528121559782,4.990368925200866,0.990159196358916,0.39288281294922656,5.276711608274465,2.928304278615095,2.3484073296593704,0.009937688779228234,8.611450273541605,7.7476032193612046,0.8638470541804004,0.603336495888678,1.1792163849438553,1.66574524573868,-0.4865288607948248,0.5820343475221885,0.7849039587552451,0.019860090771813124,0.9817000611070015,0.8465954145777288
GSE148071,GSM4453578_P3,B-lineage combined,38,7.965091854698246,5.980528121559782,4.8609759605108,1.1195521610489827,0.2900335098477513,5.276711608274465,2.8457546774592175,2.4309569308152477,0.006505587910913941,8.611450273541605,7.660689658695431,0.9507606148461738,0.5011774268740213,1.1792163849438553,1.4638367311036886,-0.28462034615983334,0.8210040852383539,0.7849039587552451,0.014194009987448599,0.9252506342289625,0.920922516601081
GSE148071,GSM4453579_P4,B cells,15,8.550100357147151,3.4044306482425672,3.733017840837253,-0.3285871925946857,1.0,3.7950051241055,2.353407986476917,1.441597137628583,0.4761904761904762,4.327245805555496,6.32989554954138,-2.0026497439858844,0.8,0.0,0.7913288580313912,-0.7913288580313912,0.23114144867966557,1.0,0.5136436597110755,1.0,0.6163771964791082
GSE148071,GSM4453579_P4,Plasma cells,467,8.550100357147151,5.010127560531958,5.225099633213964,-0.2149720726820057,0.5392105255181721,2.0702535275265506,1.221037695505571,0.8492158320209795,9.411954922725305e-06,5.923382143298776,5.996284914611393,-0.07290277131261735,0.9434198679364718,0.6675492138861964,0.812594500807066,-0.1450452869208696,0.6525330260962157,0.80334599478127,4.517738362908146e-05,1.0,0.865765135486542
GSE148071,GSM4453579_P4,B-lineage combined,482,8.550100357147151,4.92333313284064,5.181510726919813,-0.2581775940791724,0.4799865522324349,2.163483343557845,1.25411817591597,0.909365167641875,5.468182721599231e-06,5.83710450342076,6.00603084327227,-0.1689263398515095,0.8125953042796522,0.6314654725950506,0.8119732573102485,-0.1805077847151979,0.4802686728547477,0.7970665321707213,2.9163641181862563e-05,1.0,0.7697992980225805
GSE148071,GSM4453580_P5,B cells,239,7.796285579874241,3.934162499557316,3.8608600981301624,0.07330240142715372,0.8163055984554258,3.859684374792842,2.483717032997896,1.3759673417949463,2.5614898371242423e-08,9.271479694133838,8.041899031959506,1.2295806621743317,0.00020117524609724441,1.31087049169779,1.0714412985657498,0.23942919313204025,0.21008504271013706,0.9329206839490581,3.073787804549091e-07,0.0027589748036193516,0.5931812970639164
GSE148071,GSM4453580_P5,Plasma cells,716,7.796285579874241,5.477542724774341,5.318674441219549,0.1588682835547921,0.30625941018602243,4.690302274984867,3.590239164870193,1.1000631101146738,4.675255539154969e-11,9.835291675738011,9.319240694080888,0.5160509816571235,0.009016677120187997,2.1153305570542065,1.819983436118657,0.2953471209355494,0.014761781527040264,0.7849039587552451,7.480408862647951e-10,0.07869100032164071,0.26182665866694266
GSE148071,GSM4453580_P5,B-lineage combined,955,7.796285579874241,5.028806624050449,4.972243285512868,0.056563338537580776,0.6097592391301776,4.448801035281459,3.327288163752188,1.121512871529271,9.071809806872837e-15,9.671363963024904,9.015696590307536,0.6556673727173674,8.370535514542275e-05,1.8814346790210632,1.6421018567276502,0.23933282229341302,0.016364166166683916,0.80334599478127,1.7417874829195848e-13,0.0016071428187921168,0.26182665866694266
GSE148071,GSM4453581_P6,B cells,97,8.76059724650536,3.757549557844431,3.0937126664723804,0.6638368913720507,0.2133232082238249,3.7001240973174343,2.6421439474308626,1.0579801498865717,0.05559127092885569,5.355217324689094,6.2067282564792,-0.8515109317901057,0.17600919275967708,1.0705811705158765,1.443824596308392,-0.37324342579251546,0.4930184226137926,0.7849039587552451,0.08245795312193407,0.4779080020444919,0.7697992980225805
GSE148071,GSM4453581_P6,Plasma cells,89,8.76059724650536,5.060383844403412,4.3207285187175515,0.7396553256858605,0.2825319732689223,3.6914927103890336,1.9900079480663648,1.7014847623226688,0.06340945178750504,6.877706529193107,7.217463135699197,-0.3397566065060902,0.775521336528825,1.2085195440594236,0.9746082399604645,0.2339113040989591,0.6658890280815557,0.7849039587552451,0.09085533390448483,1.0,0.865765135486542
GSE148071,GSM4453581_P6,B-lineage combined,186,8.76059724650536,4.140736112714719,3.7035903681800395,0.43714574453467936,0.3005980284043277,3.6975854541031987,2.318005344196438,1.3795801099067608,0.0029100527515976485,5.8030082671902745,6.709105356209848,-0.9060970890195739,0.085378352706541,1.1111512803816257,1.2106046322064634,-0.09945335182483772,0.9960352240738426,0.7849039587552451,0.006984126603834356,0.4313853610435756,0.9960352240738426
GSE148071,GSM4453582_P7,B cells,156,8.2372195349631,3.1538746589926165,3.1536910482102933,0.00018361078232320693,0.9756219308894603,2.230355367713816,1.2969357405371964,0.9334196271766197,0.0019917330095338068,10.013621957344741,9.84663096300419,0.16699099434055142,0.8645559541897094,0.7468264385052283,0.9724163275714316,-0.22558988906620325,0.2089859323332265,0.9858916354251387,0.005167739700412039,1.0,0.5931812970639164
GSE148071,GSM4453582_P7,Plasma cells,879,8.2372195349631,5.1409553552074705,5.573105282871893,-0.4321499276644225,0.0795944629968154,2.522986763241307,1.092271619895539,1.430715143345768,1.2006700891740439e-20,8.311946498381882,7.340230211114781,0.9717162872671015,0.00013177804907655216,1.0203340653475443,0.9284826756982812,0.0918513896492631,0.35029280609985647,0.7157298723023127,3.8421442853569405e-19,0.0021084487852248346,0.7261521618059471
