dataset,sample,assigned_cell_type,n_cells,PARK7_pct_detected,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_positive_mean_log2CPM,PARK7_detection_rank_within_sample
GSE148071,GSM4453576_P1,B cells,9,77.77777777777779,6.59375876013454,8.285596371597329,8.477689834458694,1.0
GSE148071,GSM4453576_P1,Endothelial cells,128,69.53125,5.579346553238552,7.601375210985113,8.024228750725108,2.0
GSE148071,GSM4453576_P1,Epithelial/tumor,3392,67.98349056603774,5.219081082033618,7.153731651086147,7.67698310071901,3.0
GSE148071,GSM4453576_P1,Fibroblasts,300,64.0,5.238291303053717,7.572572615285971,8.184830161021432,4.0
GSE148071,GSM4453576_P1,Mast cells,37,43.24324324324324,3.328654854145291,0.0,7.6975143502109855,8.0
GSE148071,GSM4453576_P1,Myeloid cells,1045,46.889952153110045,3.688517160256515,0.0,7.8663274132001195,7.0
GSE148071,GSM4453576_P1,NK cells,19,52.63157894736842,4.025453549048139,6.277311876969722,7.648361743191463,6.0
GSE148071,GSM4453576_P1,Plasma cells,270,32.96296296296296,2.580573770318381,0.0,7.828706943662505,9.0
GSE148071,GSM4453576_P1,T cells,117,58.97435897435898,4.990996577681524,7.495347949751726,8.462994196938237,5.0
GSE148071,GSM4453577_P2,B cells,4,25.0,2.177302438062695,0.0,8.70920975225078,6.0
GSE148071,GSM4453577_P2,Endothelial cells,5,60.0,4.08892696316517,5.992862099722244,6.81487827194195,4.0
GSE148071,GSM4453577_P2,Epithelial/tumor,172,74.4186046511628,5.574065297110456,7.012187031266528,7.490150242992174,2.0
GSE148071,GSM4453577_P2,Fibroblasts,10,50.0,4.307928480025569,4.02357453202287,8.615856960051138,5.0
GSE148071,GSM4453577_P2,Mast cells,10,20.0,1.6786474842550052,0.0,8.393237421275026,7.0
GSE148071,GSM4453577_P2,Myeloid cells,98,69.38775510204081,5.362167716329846,7.417803569327935,7.7278299441224245,3.0
GSE148071,GSM4453577_P2,Plasma cells,7,85.71428571428571,6.7036076334303605,7.925008874009931,7.820875572335421,1.0
GSE148071,GSM4453578_P3,B cells,4,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453578_P3,Endothelial cells,16,12.5,1.0433554343603206,0.0,8.346843474882565,7.0
GSE148071,GSM4453578_P3,Epithelial/tumor,7634,52.187581870578995,4.241000702832782,6.511731073770163,8.126455664012415,1.0
GSE148071,GSM4453578_P3,Fibroblasts,38,50.0,4.503015948024768,3.7793897593653525,9.006031896049535,2.0
GSE148071,GSM4453578_P3,Low-confidence/other,1,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453578_P3,Mast cells,4,50.0,4.35916182306809,4.1046907381893405,8.71832364613618,2.0
GSE148071,GSM4453578_P3,Myeloid cells,94,28.723404255319153,2.3426298430186727,0.0,8.155822416435377,5.0
GSE148071,GSM4453578_P3,Plasma cells,34,26.47058823529412,2.218799963014795,0.0,8.382133193611448,6.0
GSE148071,GSM4453578_P3,T cells,10,50.0,4.039791812432342,3.8041719964290097,8.079583624864686,2.0
GSE148071,GSM4453579_P4,B cells,15,20.0,1.813253332586681,0.0,9.066266662933407,8.0
GSE148071,GSM4453579_P4,Endothelial cells,61,36.0655737704918,2.9981759778668096,0.0,8.313124302267063,4.0
