dataset,sample,n_cells,PARK7_pct_detected_all_cells,PARK7_mean_log2CPM_all_cells
GSE148071,GSM4453576_P1,5317,61.463231145382736,4.7739244697964915
GSE148071,GSM4453577_P2,306,69.6078431372549,5.2946945259745695
GSE148071,GSM4453578_P3,7835,51.66560306317805,4.2012876359672005
GSE148071,GSM4453579_P4,4558,39.49100482667836,3.356857869251457
GSE148071,GSM4453580_P5,2454,46.251018744906276,3.666489827391321
GSE148071,GSM4453581_P6,3119,32.895158704713054,2.601473043597494
GSE148071,GSM4453582_P7,3059,29.87904543968617,2.5139436566007447
GSE148071,GSM4453583_P8,1342,44.18777943368107,3.6030075672219755
GSE148071,GSM4453584_P9,3520,68.32386363636364,5.661330485900314
GSE148071,GSM4453585_P10,3740,58.796791443850275,4.527162429998539
GSE148071,GSM4453586_P11,574,43.20557491289199,3.519108980030987
GSE148071,GSM4453587_P12,891,36.02693602693603,2.943384071443934
GSE148071,GSM4453588_P13,938,34.00852878464819,2.7814923192558476
GSE148071,GSM4453589_P14,1808,37.16814159292036,2.923126003023559
GSE148071,GSM4453590_P15,3606,16.41708264004437,1.4883760374715154
GSE148071,GSM4453591_P16,1148,33.18815331010453,2.7276833764936295
GSE148071,GSM4453592_P17,8700,48.85057471264368,4.009380077868292
GSE148071,GSM4453593_P18,3314,50.69402534701267,4.353694809013646
GSE148071,GSM4453594_P19,453,22.29580573951435,1.8990922824262397
GSE148071,GSM4453595_P20,429,51.981351981351985,4.079093045648394
GSE148071,GSM4453596_P21,1968,55.99593495934959,4.359418455389403
GSE148071,GSM4453597_P22,644,27.32919254658385,2.4552941367509833
GSE148071,GSM4453598_P23,2387,45.49643904482614,3.5611758019417947
GSE148071,GSM4453599_P24,386,27.202072538860104,2.3111607832829555
GSE148071,GSM4453600_P25,4029,34.152395135269295,2.8021969962819564
GSE148071,GSM4453601_P26,570,6.842105263157896,0.6511292375826031
GSE148071,GSM4453602_P27,707,9.759547383309759,0.8973579268212547
GSE148071,GSM4453603_P28,2373,38.769490096923725,3.2322270208487582
GSE148071,GSM4453604_P29,969,71.8266253869969,6.124462880731305
GSE148071,GSM4453605_P30,742,68.05929919137466,5.231978195463981
GSE148071,GSM4453606_P31,387,70.02583979328165,5.732681001638764
GSE148071,GSM4453607_P32,595,39.49579831932773,3.4759077634841784
GSE148071,GSM4453608_P33,350,79.14285714285715,6.798427040647423
GSE148071,GSM4453609_P34,972,45.267489711934154,3.5883142995292423
GSE148071,GSM4453610_P35,1079,38.27618164967563,3.213620830145841
GSE148071,GSM4453611_P36,500,18.4,1.5421423672172674
GSE148071,GSM4453612_P37,2486,28.037007240547062,2.198637963256103
GSE148071,GSM4453613_P38,1358,38.291605301914586,3.199572218674076
GSE148071,GSM4453614_P39,1896,39.45147679324894,3.1644875718404415
GSE148071,GSM4453615_P40,1155,26.233766233766232,2.289226550335988
GSE148071,GSM4453616_P41,6222,74.92767598842815,6.447938891047084
GSE148071,GSM4453617_P42,1001,36.06393606393606,3.224740286144699
