cell,histology,p1,p2,p12,n_shared_snps,PP0,PP1,PP2,PP3,PP4,PP4_over_PP3_plus_PP4
bin,LUSC,0.0001,0.0001,1e-06,3176,3.7083111807656304e-05,0.7879902901399194,7.424888692756948e-06,0.15722632301897768,0.054738878840602544,0.2582446475193848
bin,LUSC,0.0001,0.0001,1e-05,3176,2.484381070873669e-05,0.5279136688986493,4.974300165883281e-06,0.10533369011140281,0.3667228228790734,0.7768621188083725
bin,LUSC,0.0001,0.0001,0.0001,3176,5.7769513961278395e-06,0.12275619237054237,1.1566780404566853e-06,0.024493328148502396,0.8527435458515186,0.9720790029757665
bin,LUAD,0.0001,0.0001,1e-06,3176,3.9478895829995475e-05,0.8388990314739154,7.4080324645478915e-06,0.15737877564210442,0.0036753059556855713,0.022820321715683885
bin,LUAD,0.0001,0.0001,1e-05,3176,3.821483493607074e-05,0.8120386181481754,7.170837276017693e-06,0.1523397199228259,0.035576276256786575,0.18932010568585295
bin,LUAD,0.0001,0.0001,0.0001,3176,2.8946543031850176e-05,0.6150938723946553,5.431685106893306e-06,0.11539257635373923,0.26947917302346663,0.7001791465846327
bmem,LUSC,0.0001,0.0001,1e-06,3085,0.012128470160401113,0.7778225633262573,0.0023561626516441763,0.1505337382999725,0.057159065561724794,0.27520965820167287
bmem,LUSC,0.0001,0.0001,1e-05,3085,0.008008595594573176,0.5136069324186114,0.0015558065924640362,0.09939949700498094,0.37742916838937035,0.7915404332439313
bmem,LUSC,0.0001,0.0001,0.0001,3085,0.0018214341627315056,0.116812142887688,0.0003538447215435802,0.022606914965950332,0.8584056632620867,0.9743398499356057
bmem,LUAD,0.0001,0.0001,1e-06,3085,0.012905573273356242,0.8276597090910273,0.0023902798205287555,0.1532554398869159,0.0037889979281719765,0.024126915800948872
bmem,LUAD,0.0001,0.0001,1e-05,3085,0.01247999325603963,0.800366428438829,0.002311456872809547,0.14820161923288952,0.036640502199432295,0.19822593419459247
bmem,LUAD,0.0001,0.0001,0.0001,3085,0.00938511523676734,0.601885835066709,0.0017382452595186382,0.11144952134513926,0.27554128309186576,0.7120098977357454
