cell_group,score,n_samples,median_delta_PARK7_high_minus_low,wilcoxon_signedrank_p,wilcoxon_fdr
B cells,UPR_ER_stress_score,27,0.0083581718596525,0.4698396325111389,0.6178217947483062
B cells,NRF2_redox_score,27,1.0822045926798354,1.3470649719238281e-05,5.3882598876953125e-05
B cells,Ribosome_translation_score,27,0.096144309648988,0.7317177355289459,0.7317177355289459
B cells,Apoptosis_DDR_score,27,0.2085521216673449,0.5148514956235886,0.6178217947483062
B-lineage combined,UPR_ER_stress_score,36,-0.13101408926623787,0.39637474933988415,0.5945621240098262
B-lineage combined,NRF2_redox_score,36,1.12570257860076,5.820766091346741e-11,6.984919309616089e-10
B-lineage combined,Ribosome_translation_score,36,0.14821665287336572,0.047779093438293785,0.11466982425190508
B-lineage combined,Apoptosis_DDR_score,36,0.061273153457377647,0.13477486031479202,0.26954972062958404
Plasma cells,UPR_ER_stress_score,33,-0.0463890753112101,0.7242955029942095,0.7317177355289459
Plasma cells,NRF2_redox_score,33,1.060359934690146,4.656612873077393e-10,2.7939677238464355e-09
Plasma cells,Ribosome_translation_score,33,0.5204106563401858,0.0005144963506609201,0.0015434890519827604
Plasma cells,Apoptosis_DDR_score,33,0.1057624057081414,0.27976055652834475,0.4795895254771624
