sample,sample_label,assigned_cell_type,n_cells,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_pct_detected
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,B cells,1135,1.2264259818617826,1.41519936004206,68.54625550660793
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Endothelial cells,15,1.0815441212832755,1.2877945673597424,53.333333333333336
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Epithelial/tumor,1138,1.3569463156267814,1.4984412369002353,76.71353251318102
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Fibroblasts,46,1.8375432897146715,2.0125346696330197,82.6086956521739
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Low-confidence/other,76,0.17857186678850492,0.0,5.263157894736842
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Mast cells,3473,1.0378796202375102,0.0,45.78174488914483
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Myeloid cells,481,1.233338256292102,1.3367655287956535,63.61746361746362
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,NK cells,376,1.18837257491417,0.0,47.87234042553192
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,Plasma cells,463,0.9119790265238974,0.3741806848863215,50.323974082073434
GSM6047623_P1_T_R_I,LUSC tumor P1 region I,T cells,1377,1.5473733896620063,1.8733506954242436,62.45461147421931
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,B cells,765,1.1145482540139002,1.3477322222022767,53.98692810457516
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Endothelial cells,7,1.5723616176878803,1.7741770370069903,57.14285714285714
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Epithelial/tumor,160,1.3848468407197965,1.6470747345719063,72.5
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Fibroblasts,13,2.053526670046948,2.28326437604428,92.3076923076923
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Low-confidence/other,21,0.1937170343306397,0.0,4.761904761904762
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Mast cells,54,1.1763105564868108,1.3848022279049967,55.55555555555556
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Myeloid cells,2175,1.3214213946510298,1.5226217016033043,69.88505747126436
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,NK cells,844,1.6105228885755436,1.8971703319880389,65.28436018957346
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,Plasma cells,175,0.78041831379623,0.0,44.0
GSM6047625_P1_T_R_M,LUSC tumor P1 region M,T cells,5086,1.7020041366103744,2.0136869655763436,69.48486040110106
