gene,avg_log2FC,mean_log2CPM_PARK7_high,mean_log2CPM_PARK7_low,pct_high,pct_low,max_pct,excluded_manual_redox_or_anchor,excluded_low_detection,eligible_for_CMap,PARK7_group_cutoff_log2CPM,n_B_lineage_cells,n_PARK7_high,n_PARK7_low,CMap_direction
RPS12,1.0115114929224607,5.860734990761849,4.849223497839389,0.9933333333333232,0.926733780760638,0.9933333333333232,False,False,True,1.807956270505679,2538,750,1788,UP
RPL30,0.9781425655200824,5.176758280865137,4.1986157153450545,0.9799999999999902,0.8819910514541496,0.9799999999999902,False,False,True,1.807956270505679,2538,750,1788,UP
RPS15A,0.976348846491518,4.902548817692304,3.9261999712007865,0.9799999999999902,0.8585011185682432,0.9799999999999902,False,False,True,1.807956270505679,2538,750,1788,UP
RPS23,0.9757006532809713,5.1277274363862215,4.15202678310525,0.9906666666666566,0.8864653243847984,0.9906666666666566,False,False,True,1.807956270505679,2538,750,1788,UP
RPS3,0.968006201739624,4.7191672148173724,3.7511610130777484,0.9893333333333233,0.8596196868009054,0.9893333333333233,False,False,True,1.807956270505679,2538,750,1788,UP
RPL11,0.9642549162875884,5.2777089377920445,4.313454021504456,0.9906666666666566,0.889821029082785,0.9906666666666566,False,False,True,1.807956270505679,2538,750,1788,UP
RPL10A,0.9521684632558456,3.9146594696651977,2.962491006409352,0.9559999999999909,0.7964205816554906,0.9559999999999909,False,False,True,1.807956270505679,2538,750,1788,UP
RPL26,0.9457693717991411,4.8627124287622605,3.9169430569631194,0.9839999999999901,0.8719239373601897,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,UP
RPL39,0.9394863506415643,5.284876261631143,4.345389910989579,0.98799999999999,0.8965324384787583,0.98799999999999,False,False,True,1.807956270505679,2538,750,1788,UP
RPS14,0.9375849979427953,5.056145451429241,4.118560453486446,0.9786666666666569,0.8836689038031429,0.9786666666666569,False,False,True,1.807956270505679,2538,750,1788,UP
RPS3A,0.9353173064160587,4.883749705165113,3.948432398749054,0.9786666666666569,0.8730425055928519,0.9786666666666569,False,False,True,1.807956270505679,2538,750,1788,UP
RPL27,0.9340368470399159,3.844236053910174,2.9101992068702582,0.9586666666666575,0.7908277404921795,0.9586666666666575,False,False,True,1.807956270505679,2538,750,1788,UP
RPS29,0.9318777251679284,4.975382683239419,4.04350495807149,0.9773333333333236,0.8713646532438586,0.9773333333333236,False,False,True,1.807956270505679,2538,750,1788,UP
RPS13,0.9298671911199468,4.308802687936439,3.3789354968164926,0.9666666666666572,0.8227069351230525,0.9666666666666572,False,False,True,1.807956270505679,2538,750,1788,UP
RPL10,0.9240115425429094,5.64604425290916,4.722032710366251,0.9946666666666565,0.9239373601789824,0.9946666666666565,False,False,True,1.807956270505679,2538,750,1788,UP
RPL41,0.9235873112544075,5.424285367600502,4.500698056346095,0.98799999999999,0.9060402684563871,0.98799999999999,False,False,True,1.807956270505679,2538,750,1788,UP
RPS27A,0.91108177073228,4.828757420347901,3.917675649615621,0.9719999999999904,0.8696868008948653,0.9719999999999904,False,False,True,1.807956270505679,2538,750,1788,UP
RPS27,0.9103473830734226,6.034104704403935,5.123757321330513,0.9973333333333231,0.9328859060402801,0.9973333333333231,False,False,True,1.807956270505679,2538,750,1788,UP
RPL7A,0.9061338941915511,4.559086688410002,3.6529527942184505,0.9773333333333236,0.8601789709172365,0.9773333333333236,False,False,True,1.807956270505679,2538,750,1788,UP
RPL21,0.9059043740907229,4.604980686110865,3.6990763120201424,0.9679999999999905,0.84675615212529,0.9679999999999905,False,False,True,1.807956270505679,2538,750,1788,UP
RPL12,0.9012926519334803,4.988558786774656,4.087266134841176,0.9813333333333235,0.8803131991051563,0.9813333333333235,False,False,True,1.807956270505679,2538,750,1788,UP
RPS18,0.8966935640447584,5.592610081475703,4.695916517430945,0.98799999999999,0.921700223713658,0.98799999999999,False,False,True,1.807956270505679,2538,750,1788,UP
RPS8,0.8875719000645699,5.23185605130963,4.34428415124506,0.9826666666666568,0.889821029082785,0.9826666666666568,False,False,True,1.807956270505679,2538,750,1788,UP
RPL9,0.8857566183358516,4.779873176338164,3.8941165580023123,0.9839999999999901,0.8769574944071696,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,UP
RPS10,0.883800548312867,3.796437791354638,2.912637243041771,0.9399999999999913,0.7785234899328952,0.9399999999999913,False,False,True,1.807956270505679,2538,750,1788,UP
RPS6,0.8751869512559196,5.065107547240712,4.189920595984792,0.9866666666666567,0.8892617449664539,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,UP
RPL23A,0.8696518790966947,4.4540120118742,3.584360132777505,0.9719999999999904,0.8551454138702566,0.9719999999999904,False,False,True,1.807956270505679,2538,750,1788,UP
RPS25,0.8695063048591756,4.630362597845918,3.760856292986743,0.9866666666666567,0.8612975391498987,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,UP
RPL32,0.8641387364384059,5.3379732074581305,4.473834471019725,0.9906666666666566,0.9077181208053804,0.9906666666666566,False,False,True,1.807956270505679,2538,750,1788,UP
RPS4X,0.8581811048752748,4.587984112116,3.729803007240725,0.9759999999999903,0.8624161073825609,0.9759999999999903,False,False,True,1.807956270505679,2538,750,1788,UP
RPL3,0.8559630525459121,4.746205533591487,3.890242481045575,0.9839999999999901,0.8691275167785342,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,UP
RPL5,0.8544442299239137,4.047617528568879,3.1931732986449655,0.9679999999999905,0.8210290827740592,0.9679999999999905,False,False,True,1.807956270505679,2538,750,1788,UP
RPL15,0.8502120004988756,4.34957461532649,3.4993626148276142,0.974666666666657,0.8585011185682432,0.974666666666657,False,False,True,1.807956270505679,2538,750,1788,UP
RPS9,0.8490492858818621,4.5592750506945885,3.7102257648127264,0.9853333333333234,0.8747203579418452,0.9853333333333234,False,False,True,1.807956270505679,2538,750,1788,UP
RPS19,0.8485094942139781,5.182732464206826,4.334222969992848,0.98799999999999,0.9060402684563871,0.98799999999999,False,False,True,1.807956270505679,2538,750,1788,UP
RPS2,0.8454386779865248,4.817730529473544,3.9722918514870194,0.9826666666666568,0.8892617449664539,0.9826666666666568,False,False,True,1.807956270505679,2538,750,1788,UP
RPS7,0.8384333418058287,4.21132288212751,3.372889540321681,0.9706666666666571,0.8434004474273034,0.9706666666666571,False,False,True,1.807956270505679,2538,750,1788,UP
HLA-DPB1,0.8350817088136302,3.5611172231774426,2.7260355143638124,0.9373333333333247,0.7410514541387112,0.9373333333333247,False,False,True,1.807956270505679,2538,750,1788,UP
RPL24,0.8348680913756716,4.521692472089836,3.6868243807141647,0.9866666666666567,0.8724832214765208,0.9866666666666567,False,False,True,1.807956270505679,2538,750,1788,UP
RPL18A,0.8335020443477577,4.904280920054257,4.070778875706499,0.9839999999999901,0.8875838926174606,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,UP
RPL36,0.8332388843997998,4.708058423855968,3.8748195394561686,0.9839999999999901,0.8797539149888252,0.9839999999999901,False,False,True,1.807956270505679,2538,750,1788,UP
HLA-DRA,0.8324524729152221,4.646360829006623,3.813908356091401,0.9639999999999906,0.84675615212529,0.9639999999999906,False,False,True,1.807956270505679,2538,750,1788,UP
